,weekday,SM1_Index_PX-LAST-CHF,SM1_Index_start,SM1_Index_weeklyReturn,ES1_Index_PX-LAST-CHF,ES1_Index_start,ES1_Index_weeklyReturn,PT1_Index_PX-LAST-CHF,PT1_Index_start,PT1_Index_weeklyReturn,VG1_Index_PX-LAST-CHF,VG1_Index_start,VG1_Index_weeklyReturn,Z 1_Index_PX-LAST-CHF,Z 1_Index_start,Z 1_Index_weeklyReturn,GX1_Index_PX-LAST-CHF,GX1_Index_start,GX1_Index_weeklyReturn,ST1_Index_PX-LAST-CHF,ST1_Index_start,ST1_Index_weeklyReturn,CF1_Index_PX-LAST-CHF,CF1_Index_start,CF1_Index_weeklyReturn,OI1_Index_PX-LAST-CHF,OI1_Index_start,OI1_Index_weeklyReturn,QC1_Index_PX-LAST-CHF,QC1_Index_start,QC1_Index_weeklyReturn,ATT1_Index_PX-LAST-CHF,ATT1_Index_start,ATT1_Index_weeklyReturn,BE1_Index_PX-LAST-CHF,BE1_Index_start,BE1_Index_weeklyReturn,EO1_Index_PX-LAST-CHF,EO1_Index_start,EO1_Index_weeklyReturn,OT1_Index_PX-LAST-CHF,OT1_Index_start,OT1_Index_weeklyReturn,XP1_Index_PX-LAST-CHF,XP1_Index_start,XP1_Index_weeklyReturn,TP1_Index_PX-LAST-CHF,TP1_Index_start,TP1_Index_weeklyReturn,NI1_Index_PX-LAST-CHF,NI1_Index_start,NI1_Index_weeklyReturn,HI1_Index_PX-LAST-CHF,HI1_Index_start,HI1_Index_weeklyReturn,IH1_Index_PX-LAST-CHF,IH1_Index_start,IH1_Index_weeklyReturn,MES1_Index_PX-LAST-CHF,MES1_Index_start,MES1_Index_weeklyReturn,BZ1_Index_PX-LAST-CHF,BZ1_Index_start,BZ1_Index_weeklyReturn
1997-08-25,Monday,,excluded,,,excluded,,,excluded,,,excluded,,10286.18638,,,11931.68542,,,,excluded,,3464.66454,,,56.07954,,,,excluded,,,excluded,,2576.40249,,,490.51092,,,,excluded,,,excluded,,11.86942,,,170.7195,,,2042.79246,,,,excluded,,,excluded,,263719.79847,,
1997-08-26,Tuesday,,excluded,,,excluded,,,excluded,,,excluded,,10219.21245,,,11724.32143,,,,excluded,,3438.33878,,,56.10158,,,,excluded,,,excluded,,2568.66422,,,482.11394,,,,excluded,,,excluded,,11.89627,,,171.56869,,,2001.56744,,,,excluded,,,excluded,,266654.80367,,
1997-08-27,Wednesday,,excluded,,,excluded,,,excluded,,,excluded,,10323.33214,,,11742.31881,,,,excluded,,3448.04609,,,56.14395,,,,excluded,,,excluded,,2566.25162,,,482.85916,,,,excluded,,,excluded,,11.73772,,,168.53456,,,2009.65991,,,,excluded,,,excluded,,271567.22315,,
1997-08-28,Thursday,,excluded,,,excluded,,,excluded,,,excluded,,10106.07064,,,11406.8684,,,,excluded,,3394.31903,,,56.52154,,,,excluded,,,excluded,,2525.53838,,,468.99865,,,,excluded,,,excluded,,11.55536,,,166.71391,,,1902.40043,,,,excluded,,,excluded,,260021.46512,,
1997-08-29,Friday,,excluded,,,excluded,,,excluded,,,excluded,,10147.85588,start,-0.01344818136573567,11500.36822,start,-0.04102429741648088,,excluded,,3315.20998,start,-0.047795509485270324,56.51556,start,0.006587682865772934,,excluded,,,excluded,,2524.71687,start,-0.020555275536575112,460.5655,start,-0.051409623150733316,1273.44047,start,,,excluded,,11.32834,start,-0.050666474481561086,162.99801,start,-0.05916172941807459,1799.64908,start,-0.09736516511284317,,excluded,,,excluded,,240471.7329,start,-0.0664174970742145
1997-08-30,Saturday,,excluded,,,excluded,,,excluded,,,excluded,,10147.85588,,,11500.36822,,,,excluded,,3315.20998,,,56.51556,,,,excluded,,,excluded,,2524.71687,,,460.5655,,,1273.44047,,,,excluded,,11.32834,,,162.99801,,,1799.64908,,,,excluded,,,excluded,,240471.7329,,
1997-08-31,Sunday,,excluded,,,excluded,,,excluded,,,excluded,,10147.85588,,,11500.36822,,,,excluded,,3315.20998,,,56.51556,,,,excluded,,,excluded,,2524.71687,,,460.5655,,,1273.44047,,,,excluded,,11.32834,,,162.99801,,,1799.64908,,,,excluded,,,excluded,,240471.7329,,
1997-09-01,Monday,,excluded,,,excluded,,,excluded,,,excluded,,10254.96999,,,11736.65026,,,,excluded,,3353.39437,,,57.2596,,,,excluded,,,excluded,,2569.92667,,,471.63773,,,1279.14614,,,,excluded,,11.1045,,,160.38287,,,1715.6741,,,,excluded,,,excluded,,227526.34662,,
1997-09-02,Tuesday,,excluded,,,excluded,,,excluded,,,excluded,,10406.02775,,,12069.75222,,,,excluded,,3492.86498,,,57.78467,,,,excluded,,,excluded,,2658.4365,,,498.74904,,,1284.746,,,,excluded,,11.28903,,,163.15088,,,1795.70294,,,,excluded,,,excluded,,252719.5345,,
1997-09-03,Wednesday,,excluded,,,excluded,,,excluded,,,excluded,,10335.72514,,,11907.50969,,,,excluded,,3506.94557,,,58.0859,,,,excluded,,,excluded,,2674.2575,,,496.88053,,,1309.96435,,,,excluded,,11.60901,,,168.37698,,,1923.78327,,,,excluded,,,excluded,,255411.9356,,
1997-09-04,Thursday,,excluded,,,excluded,,,excluded,,,excluded,,10332.92093,,,11985.57637,,,,excluded,,3508.33318,,,57.93212,,,,excluded,,,excluded,,2659.43922,,,488.73583,,,1299.76538,,,,excluded,,11.5599,,,167.10053,,,1849.80269,,,,excluded,,,excluded,,260818.33939,,
1997-09-05,Friday,,excluded,,,excluded,,,excluded,,,excluded,,10222.25616,start,0.007331625604442627,11878.45461,start,0.032876024729580386,,excluded,,3482.75221,start,0.05053744137196402,58.04749,start,0.027106340271599586,,excluded,,,excluded,,2659.13282,start,0.05324000944311811,484.99987,start,0.053052975092576414,1313.99753,start,0.03184841455525604,,excluded,,11.38267,start,0.004795936562638342,164.89259,start,0.011623332088532978,1879.80872,start,0.04454181700801363,,excluded,,,excluded,,270517.08812,start,0.1249433971205851
1997-09-06,Saturday,,excluded,,,excluded,,,excluded,,,excluded,,10222.25616,,,11878.45461,,,,excluded,,3482.75221,,,58.04749,,,,excluded,,,excluded,,2659.13282,,,484.99987,,,1313.99753,,,,excluded,,11.38267,,,164.89259,,,1879.80872,,,,excluded,,,excluded,,270517.08812,,
1997-09-07,Sunday,,excluded,,,excluded,,,excluded,,,excluded,,10222.25616,,,11878.45461,,,,excluded,,3482.75221,,,58.04749,,,,excluded,,,excluded,,2659.13282,,,484.99987,,,1313.99753,,,,excluded,,11.38267,,,164.89259,,,1879.80872,,,,excluded,,,excluded,,270517.08812,,
1997-09-08,Monday,,excluded,,,excluded,,,excluded,,,excluded,,10184.66654,,,12066.69784,,,,excluded,,3517.7509,,,58.23336,,,,excluded,,,excluded,,2648.65945,,,480.53798,,,1316.16838,,,,excluded,,11.391,,,165.63639,,,1917.79934,,,,excluded,,,excluded,,267586.43913,,
1997-09-09,Tuesday,,excluded,,,excluded,,,excluded,,,excluded,,10179.29924,,,11976.89571,,,,excluded,,3481.09486,,,58.32271,,,,excluded,,,excluded,,2625.51551,,,474.6287,,,1309.58416,,,,excluded,,11.62173,,,169.82713,,,1948.93961,,,,excluded,,,excluded,,268786.49505,,
1997-09-10,Wednesday,,excluded,,,excluded,,,excluded,,,excluded,,9989.98076,,,11727.25631,,,,excluded,,3433.76291,,,58.01318,,,,excluded,,,excluded,,2573.18748,,,465.65008,,,1315.32833,,,,excluded,,11.49729,,,168.22372,,,1894.30995,,,,excluded,,,excluded,,255442.23522,,
1997-09-11,Thursday,,excluded,,,excluded,,,excluded,,,excluded,,9959.89008,,,11403.85741,,,,excluded,,3418.97808,,,58.3692,,,,excluded,,,excluded,,2537.32097,,,456.01134,,,1301.31928,,,,excluded,,11.1849,,,163.2643,,,1816.7659,,,,excluded,,,excluded,,247223.784,,
1997-09-12,Friday,,excluded,,1630.06039,start,,,excluded,,,excluded,,9901.86125,start,-0.03134287626773783,11119.33657,start,-0.06390713816938189,,excluded,,3400.53828,start,-0.023606023352433645,58.41298,start,0.0062963962782885885,,excluded,,,excluded,,2537.5203,start,-0.045733902077143965,457.14392,start,-0.05743496384854703,1302.4812,start,-0.008764346764030944,,excluded,,10.81597,start,-0.04978621008954833,156.28546,start,-0.052198403821542325,1832.96801,start,-0.024917806530868707,,excluded,,,excluded,,252531.69743,start,-0.06648522950987017
1997-09-13,Saturday,,excluded,,1630.06039,,,,excluded,,,excluded,,9901.86125,,,11119.33657,,,,excluded,,3400.53828,,,58.41298,,,,excluded,,,excluded,,2537.5203,,,457.14392,,,1302.4812,,,,excluded,,10.81597,,,156.28546,,,1832.96801,,,,excluded,,,excluded,,252531.69743,,
1997-09-14,Sunday,,excluded,,1630.06039,,,,excluded,,,excluded,,9901.86125,,,11119.33657,,,,excluded,,3400.53828,,,58.41298,,,,excluded,,,excluded,,2537.5203,,,457.14392,,,1302.4812,,,,excluded,,10.81597,,,156.28546,,,1832.96801,,,,excluded,,,excluded,,252531.69743,,
1997-09-15,Monday,,excluded,,1600.58813,,,,excluded,,,excluded,,9904.88298,,,11290.66403,,,,excluded,,3467.49805,,,57.3905,,,,excluded,,,excluded,,2547.63387,,,462.04941,,,1286.01442,,,,excluded,,10.81597,,,156.28546,,,1834.31731,,,,excluded,,,excluded,,237675.76731,,
1997-09-16,Tuesday,,excluded,,1651.09964,,,,excluded,,,excluded,,10077.10229,,,11634.83006,,,,excluded,,3515.12925,,,57.57404,,,,excluded,,,excluded,,2578.75779,,,468.41748,,,1298.66446,,,,excluded,,10.73275,,,156.19588,,,1798.10427,,,,excluded,,,excluded,,248544.70741,,
1997-09-17,Wednesday,,excluded,,1665.8975,,,,excluded,,,excluded,,10252.74974,,,11620.36992,,,,excluded,,3531.92553,,,59.1738,,,,excluded,,,excluded,,2608.78635,,,479.52083,,,1321.94848,,,,excluded,,10.58437,,,155.02949,,,1798.10427,,,,excluded,,,excluded,,256874.18882,,
1997-09-18,Thursday,,excluded,,1672.36814,,,,excluded,,,excluded,,10377.81441,,,11697.6109,,,,excluded,,3570.64527,,,58.8662,,,,excluded,,,excluded,,2612.20141,,,481.25149,,,1341.25963,,,,excluded,,10.75379,,,157.17949,,,1839.45201,,,,excluded,,,excluded,,263036.62019,,
1997-09-19,Friday,,excluded,,1671.29203,start,0.025294547522868135,,excluded,,,excluded,,10305.28427,start,0.04074214027186052,11637.13554,start,0.046567433833869444,,excluded,,3574.4461,start,0.05114126225922088,59.07035,start,0.011253834336135568,,excluded,,,excluded,,2607.93055,start,0.027747659792120637,477.16059,start,0.04378636382170419,1354.24541,start,0.03974276941578892,,excluded,,10.71591,start,-0.009251135127039085,156.60955,start,0.0020737053850051848,1810.05879,start,-0.012498428709620526,,excluded,,,excluded,,258601.68722,start,0.024036546111929378
1997-09-20,Saturday,,excluded,,1671.29203,,,,excluded,,,excluded,,10305.28427,,,11637.13554,,,,excluded,,3574.4461,,,59.07035,,,,excluded,,,excluded,,2607.93055,,,477.16059,,,1354.24541,,,,excluded,,10.71591,,,156.60955,,,1810.05879,,,,excluded,,,excluded,,258601.68722,,
1997-09-21,Sunday,,excluded,,1671.29203,,,,excluded,,,excluded,,10305.28427,,,11637.13554,,,,excluded,,3574.4461,,,59.07035,,,,excluded,,,excluded,,2607.93055,,,477.16059,,,1354.24541,,,,excluded,,10.71591,,,156.60955,,,1810.05879,,,,excluded,,,excluded,,258601.68722,,
1997-09-22,Monday,,excluded,,1696.87456,,,,excluded,,,excluded,,10467.76439,,,11966.07884,,,,excluded,,3614.35205,,,59.28051,,,,excluded,,,excluded,,2622.91562,,,485.24987,,,1372.41856,,,,excluded,,10.93636,,,159.6682,,,1787.98598,,,,excluded,,,excluded,,263350.39096,,
1997-09-23,Tuesday,,excluded,,1686.4328,,,,excluded,,,excluded,,10426.64653,,,11896.53854,,,,excluded,,3580.58969,,,59.14739,,,,excluded,,,excluded,,2608.66519,,,482.82506,,,1373.41736,,,,excluded,,10.93636,,,159.6682,,,1798.79494,,,,excluded,,,excluded,,255639.4365,,
1997-09-24,Wednesday,,excluded,,1657.82839,,,,excluded,,,excluded,,10446.21352,,,12147.68634,,,,excluded,,3614.43242,,,59.20021,,,,excluded,,,excluded,,2596.27576,,,482.14111,,,1375.85322,,,,excluded,,11.14721,,,163.24911,,,1804.30272,,,,excluded,,,excluded,,252881.8866,,
1997-09-25,Thursday,,excluded,,1641.22878,,,,excluded,,,excluded,,10443.85007,,,12000.07556,,,,excluded,,3590.26632,,,59.56126,,,,excluded,,,excluded,,2604.86827,,,481.44344,,,1375.85322,,,,excluded,,10.98468,,,159.56862,,,1856.4097,,,,excluded,,,excluded,,248972.69197,,
1997-09-26,Friday,,excluded,,1650.66322,start,-0.012343031397092318,,excluded,,,excluded,,10707.89745,start,0.03906861464967626,12076.84447,start,0.03778497968753578,,excluded,,3586.99237,start,0.0035099899813847584,59.97945,start,0.01539012380999947,,excluded,,,excluded,,2636.39109,start,0.010913074353149487,484.57505,start,0.01553870993411246,1406.55154,start,0.03862381929727193,,excluded,,10.75606,start,0.003746765323710313,156.45507,start,-0.000986402170238064,1845.78213,start,0.019736010894983145,,excluded,,,excluded,,254353.31506,start,-0.01642824610183531
1997-09-27,Saturday,,excluded,,1650.66322,,,,excluded,,,excluded,,10707.89745,,,12076.84447,,,,excluded,,3586.99237,,,59.97945,,,,excluded,,,excluded,,2636.39109,,,484.57505,,,1406.55154,,,,excluded,,10.75606,,,156.45507,,,1845.78213,,,,excluded,,,excluded,,254353.31506,,
1997-09-28,Sunday,,excluded,,1650.66322,,,,excluded,,,excluded,,10707.89745,,,12076.84447,,,,excluded,,3586.99237,,,59.97945,,,,excluded,,,excluded,,2636.39109,,,484.57505,,,1406.55154,,,,excluded,,10.75606,,,156.45507,,,1845.78213,,,,excluded,,,excluded,,254353.31506,,
1997-09-29,Monday,,excluded,,1664.00779,,,,excluded,,,excluded,,10676.56624,,,12058.32817,,,,excluded,,3584.2065,,,60.41254,,,,excluded,,,excluded,,2631.67772,,,482.55253,,,1417.61931,,,,excluded,,10.74123,,,156.39538,,,1873.4411,,,,excluded,,,excluded,,254973.62473,,
1997-09-30,Tuesday,,excluded,,1648.509,,,,excluded,,,excluded,,10701.66806,,,12131.85056,,,,excluded,,3595.79197,,,60.7351,,,,excluded,,,excluded,,2655.58399,,,488.58007,,,1431.00487,,,,excluded,,10.68654,,,155.53017,,,1892.71864,,,,excluded,,,excluded,,258682.67596,,
1997-10-01,Wednesday,,excluded,,1675.29565,,,,excluded,,,excluded,,10905.45608,,,12473.40996,,,,excluded,,3655.99701,,,60.63143,,,,excluded,,,excluded,,2687.51248,,,504.18876,,,1438.88059,,,,excluded,,10.76959,,,156.16582,,,1892.71864,,,,excluded,,,excluded,,268537.05735,,
1997-10-02,Thursday,,excluded,,1679.8976,,,,excluded,,,excluded,,10834.36123,,,12409.68429,,,,excluded,,3639.31685,,,60.88084,,,,excluded,,,excluded,,2679.97956,,,499.97426,,,1434.23914,,,,excluded,,10.50566,,,151.80051,,,1892.71864,,,,excluded,,,excluded,,273536.12684,,
1997-10-03,Friday,,excluded,,1681.87414,start,0.01890810894786884,,excluded,,,excluded,,10834.36462,start,0.011810644488381787,12409.68429,start,0.027560164480614466,,excluded,,3703.32626,start,0.03243215429532678,62.06728,start,0.034809088779573616,,excluded,,,excluded,,2738.09604,start,0.03857733793205917,513.9098,start,0.06053706231882976,1467.16168,start,0.04309130399871448,,excluded,,10.56941,start,-0.01735300844361227,152.36993,start,-0.0261106271596056,1890.08398,start,0.024001668062524833,,excluded,,,excluded,,275171.59259,start,0.08184787182777291
1997-10-04,Saturday,,excluded,,1681.87414,,,,excluded,,,excluded,,10834.36462,,,12409.68429,,,,excluded,,3703.32626,,,62.06728,,,,excluded,,,excluded,,2738.09604,,,513.9098,,,1467.16168,,,,excluded,,10.56941,,,152.36993,,,1890.08398,,,,excluded,,,excluded,,275171.59259,,
1997-10-05,Sunday,,excluded,,1681.87414,,,,excluded,,,excluded,,10834.36462,,,12409.68429,,,,excluded,,3703.32626,,,62.06728,,,,excluded,,,excluded,,2738.09604,,,513.9098,,,1467.16168,,,,excluded,,10.56941,,,152.36993,,,1890.08398,,,,excluded,,,excluded,,275171.59259,,
1997-10-06,Monday,,excluded,,1692.98161,,,,excluded,,,excluded,,10784.06534,,,12621.85242,,,,excluded,,3671.93745,,,62.23043,,,,excluded,,,excluded,,2737.2281,,,511.8859,,,1461.12263,,,,excluded,,10.65598,,,154.28956,,,1869.94371,,,,excluded,,,excluded,,278658.36374,,
1997-10-07,Tuesday,,excluded,,1704.36229,,,,excluded,,,excluded,,10836.59407,,,12596.82755,,,,excluded,,3667.24115,,,62.34124,,,,excluded,,,excluded,,2736.67144,,,504.8827,,,1462.15108,,,,excluded,,10.46633,,,151.01393,,,1846.15147,,,,excluded,,,excluded,,271664.84886,,
1997-10-08,Wednesday,,excluded,,1693.51191,,,,excluded,,,excluded,,10656.71911,,,12437.0329,,,,excluded,,3618.41042,,,61.82478,,,,excluded,,,excluded,,2719.30192,,,500.8519,,,1479.40937,,,,excluded,,10.57991,,,152.88345,,,1867.87955,,,,excluded,,,excluded,,269566.37572,,
1997-10-09,Thursday,,excluded,,1694.21942,,,,excluded,,,excluded,,10687.38157,,,12341.44061,,,,excluded,,3585.76474,,,62.33631,,,,excluded,,,excluded,,2704.80912,,,495.46996,,,1479.40937,,,,excluded,,10.52391,,,151.96368,,,1791.2219,,,,excluded,,,excluded,,278299.13228,,
1997-10-10,Friday,,excluded,,1693.44961,start,0.0068824828949448,,excluded,,,excluded,,10753.69293,start,-0.007445908720026171,12268.45073,start,-0.011380914832282069,,excluded,,3566.66321,start,-0.036902784255362815,62.76756,start,0.011282595274031769,,excluded,,,excluded,,2650.971,start,-0.03181957050710314,487.15199,start,-0.05206713318173735,1441.45332,start,-0.017522513265204594,,excluded,,10.52391,start,-0.004304876052683997,151.96368,start,-0.002666208483524275,1791.2219,start,-0.05230565469371372,,excluded,,,excluded,,278253.0845,start,0.011198437603954786
1997-10-11,Saturday,,excluded,,1693.44961,,,,excluded,,,excluded,,10753.69293,,,12268.45073,,,,excluded,,3566.66321,,,62.76756,,,,excluded,,,excluded,,2650.971,,,487.15199,,,1441.45332,,,,excluded,,10.52391,,,151.96368,,,1791.2219,,,,excluded,,,excluded,,278253.0845,,
1997-10-12,Sunday,,excluded,,1693.44961,,,,excluded,,,excluded,,10753.69293,,,12268.45073,,,,excluded,,3566.66321,,,62.76756,,,,excluded,,,excluded,,2650.971,,,487.15199,,,1441.45332,,,,excluded,,10.52391,,,151.96368,,,1791.2219,,,,excluded,,,excluded,,278253.0845,,
1997-10-13,Monday,,excluded,,1699.67342,,,,excluded,,,excluded,,10884.26393,,,12500.64955,,,,excluded,,3661.27314,,,63.83581,,,,excluded,,,excluded,,2711.72727,,,506.435,,,1491.82241,,,,excluded,,10.43664,,,151.33541,,,1789.92854,,,,excluded,,,excluded,,278329.31698,,
1997-10-14,Tuesday,,excluded,,1699.75469,,,,excluded,,,excluded,,10845.29927,,,12440.33998,,,,excluded,,3655.04619,,,63.3406,,,,excluded,,,excluded,,2699.84903,,,502.84129,,,1479.34205,,,,excluded,,10.41887,,,151.61196,,,1729.17184,,,,excluded,,,excluded,,283081.38165,,
1997-10-15,Wednesday,,excluded,,1695.00152,,,,excluded,,,excluded,,10845.18496,,,12344.89753,,,,excluded,,3632.95554,,,62.92296,,,,excluded,,,excluded,,2669.99923,,,498.56524,,,1484.41178,,,,excluded,,10.39598,,,151.12141,,,1681.81465,,,,excluded,,,excluded,,281354.85459,,
1997-10-16,Thursday,,excluded,,1664.66136,,,,excluded,,,excluded,,10894.73988,,,12234.95527,,,,excluded,,3642.87336,,,64.0226,,,,excluded,,,excluded,,2652.40092,,,491.92984,,,1489.14994,,,,excluded,,10.74542,,,155.84758,,,1725.60751,,,,excluded,,,excluded,,274576.32504,,
1997-10-17,Friday,,excluded,,1666.9328,start,-0.01565845824015977,,excluded,,,excluded,,10946.7511,start,0.01795273226199516,11913.02709,start,-0.02897053978713748,,excluded,,3593.72317,start,0.007586912025820359,63.52035,start,0.011993297174527693,,excluded,,,excluded,,2623.04545,start,-0.010534083549008998,485.05066,start,-0.004313499776527688,1463.4858,start,0.015284907040902199,,excluded,,10.74833,start,0.021324773777046602,155.67501,start,0.024422480424269637,1729.47751,start,-0.03447054214779312,,excluded,,,excluded,,276017.08814,start,-0.008035836742000214
1997-10-18,Saturday,,excluded,,1666.9328,,,,excluded,,,excluded,,10946.7511,,,11913.02709,,,,excluded,,3593.72317,,,63.52035,,,,excluded,,,excluded,,2623.04545,,,485.05066,,,1463.4858,,,,excluded,,10.74833,,,155.67501,,,1729.47751,,,,excluded,,,excluded,,276017.08814,,
1997-10-19,Sunday,,excluded,,1666.9328,,,,excluded,,,excluded,,10946.7511,,,11913.02709,,,,excluded,,3593.72317,,,63.52035,,,,excluded,,,excluded,,2623.04545,,,485.05066,,,1463.4858,,,,excluded,,10.74833,,,155.67501,,,1729.47751,,,,excluded,,,excluded,,276017.08814,,
1997-10-20,Monday,,excluded,,1687.78766,,,,excluded,,,excluded,,10837.34997,,,11976.62401,,,,excluded,,3563.91904,,,63.37716,,,,excluded,,,excluded,,2606.7301,,,486.09038,,,1472.59675,,,,excluded,,10.56674,,,153.05076,,,1640.1515,,,,excluded,,,excluded,,280009.16793,,
1997-10-21,Tuesday,,excluded,,1737.40439,,,,excluded,,,excluded,,10999.61052,,,12314.73322,,,,excluded,,3622.54612,,,64.01653,,,,excluded,,,excluded,,2646.40914,,,495.5851,,,1511.24834,,,,excluded,,10.67001,,,154.50148,,,1589.8661,,,,excluded,,,excluded,,290431.11294,,
1997-10-22,Wednesday,,excluded,,1716.25984,,,,excluded,,,excluded,,10712.10966,,,12117.26792,,,,excluded,,3574.99855,,,64.01653,,,,excluded,,,excluded,,2632.0167,,,489.29739,,,1510.10495,,,,excluded,,10.79169,,,156.8118,,,1498.10909,,,,excluded,,,excluded,,286526.54946,,
1997-10-23,Thursday,,excluded,,1666.39146,,,,excluded,,,excluded,,10277.62923,,,11628.36667,,,,excluded,,3442.0333,,,62.46947,,,,excluded,,,excluded,,2538.11603,,,472.94182,,,1473.11195,,,,excluded,,10.31861,,,150.84766,,,1347.68387,,,,excluded,,,excluded,,260682.9267,,
1997-10-24,Friday,,excluded,,1647.45947,start,-0.01168213259706692,,excluded,,,excluded,,10272.431,start,-0.061600021215427014,11626.76935,start,-0.024028967435177646,,excluded,,3418.55668,start,-0.04874234372370982,62.52143,start,-0.0157259838776077,,excluded,,,excluded,,2506.95223,start,-0.044258943359140115,472.90403,start,-0.025041982212744573,1467.78445,start,0.0029372679939909086,,excluded,,10.34564,start,-0.0374653550830687,151.79396,start,-0.024930462506474148,1428.45766,start,-0.17405248016205768,,excluded,,,excluded,,254354.40815,start,-0.0784831118101368
