date,weekday,UB1_Comdty_PX-LAST,UB1_Comdty_CURRENCY-EUR,UB1_Comdty_PX-LAST-CHF,imputed,UB1_Comdty_start
2003-10-28,Tuesday,84.86,1.55345,131.82576699999998,,
2003-10-29,Wednesday,84.59,1.55245,131.32174550000002,,
2003-10-30,Thursday,84.36,1.55,130.758,,
2003-10-31,Friday,84.97,1.55275,131.93716750000002,,start
2003-11-01,Saturday,,,131.93716750000002,imputed from 1764,
2003-11-02,Sunday,,,131.93716750000002,imputed from 1765,
2003-11-03,Monday,84.31,1.55875,131.4182125,,
2003-11-04,Tuesday,84.88,1.5648,132.820224,,
2003-11-05,Wednesday,84.91,1.5662,132.986042,,
2003-11-06,Thursday,83.99,1.57215,132.04487849999998,,
2003-11-07,Friday,83.74,1.57155,131.601597,,start
2003-11-08,Saturday,,,131.601597,imputed from 1771,
2003-11-09,Sunday,,,131.601597,imputed from 1772,
2003-11-10,Monday,83.82,1.5738,131.915916,,
2003-11-11,Tuesday,83.71,1.5686,131.307506,,
2003-11-12,Wednesday,83.69,1.5721,131.569049,,
2003-11-13,Thursday,84.13,1.5687,131.974731,,
2003-11-14,Friday,84.76,1.56315,132.49259400000003,,start
2003-11-15,Saturday,,,132.49259400000003,imputed from 1778,
2003-11-16,Sunday,,,132.49259400000003,imputed from 1779,
2003-11-17,Monday,84.92,1.55625,132.15675,,
2003-11-18,Tuesday,85.09,1.5464,131.583176,,
2003-11-19,Wednesday,84.44,1.5543,131.245092,,
2003-11-20,Thursday,84.57,1.54755,130.87630349999998,,
2003-11-21,Friday,85.12,1.5468,131.663616,,start
2003-11-22,Saturday,,,131.663616,imputed from 1785,
2003-11-23,Sunday,,,131.663616,imputed from 1786,
2003-11-24,Monday,84.23,1.554,130.89342000000002,,
2003-11-25,Tuesday,,1.554,130.89342000000002,imputed from 1788,
2003-11-26,Wednesday,84.43,1.5431,130.283933,,
2003-11-27,Thursday,84.26,1.5488,130.501888,,
2003-11-28,Friday,84.31,1.5484,130.545604,,start
2003-11-29,Saturday,,,130.545604,imputed from 1792,
2003-11-30,Sunday,,,130.545604,imputed from 1793,
2003-12-01,Monday,84.02,1.55335,130.512467,,
2003-12-02,Tuesday,84.09,1.55565,130.8146085,,
2003-12-03,Wednesday,84.09,1.5579,131.003811,,
2003-12-04,Thursday,84.0,1.5567,130.7628,,
2003-12-05,Friday,84.0,1.5512,130.30079999999998,imputed from 1798,start
2003-12-06,Saturday,,,130.30079999999998,imputed from 1799,
2003-12-07,Sunday,,,130.30079999999998,imputed from 1800,
2003-12-08,Monday,,1.54955,130.30079999999998,imputed from 1801,
2003-12-09,Tuesday,83.98,1.5473,129.942254,,
2003-12-10,Wednesday,84.38,1.5478,130.603364,,
2003-12-11,Thursday,84.15,1.5506,130.48299,,
2003-12-12,Friday,84.81,1.55095,131.5360695,,start
2003-12-13,Saturday,,,131.5360695,imputed from 1806,
2003-12-14,Sunday,,,131.5360695,imputed from 1807,
2003-12-15,Monday,84.76,1.5523,131.572948,,
2003-12-16,Tuesday,85.09,1.55255,132.1064795,,
2003-12-17,Wednesday,85.64,1.5558,133.23871200000002,,
2003-12-18,Thursday,85.71,1.5526,133.073346,,
2003-12-19,Friday,85.5,1.5557,133.01235,,start
2003-12-20,Saturday,,,133.01235,imputed from 1813,
2003-12-21,Sunday,,,133.01235,imputed from 1814,
2003-12-22,Monday,85.8,1.5589,133.75361999999998,,
2003-12-23,Tuesday,85.96,1.5601,134.10619599999998,,
2003-12-24,Wednesday,,1.55305,134.10619599999998,imputed from 1817,
2003-12-25,Thursday,,1.5546,134.10619599999998,imputed from 1818,
2003-12-26,Friday,85.96,1.55915,134.024534,imputed from 1817,start
2003-12-27,Saturday,,,134.024534,imputed from 1820,
2003-12-28,Sunday,,,134.024534,imputed from 1821,
2003-12-29,Monday,85.75,1.5603,133.795725,,
2003-12-30,Tuesday,85.39,1.55905,133.12727950000001,,
2003-12-31,Wednesday,,1.56045,133.12727950000001,imputed from 1824,
