date,weekday,LC1_Comdty_PX-LAST-CHF,imputed,LC1_Comdty_start
1998-07-29,Wednesday,0.90788,,
1998-07-30,Thursday,0.89519,,
1998-07-31,Friday,0.87842,,start
1998-08-01,Saturday,0.87842,imputed from 350,
1998-08-02,Sunday,0.87842,imputed from 351,
1998-08-03,Monday,0.88634,,
1998-08-04,Tuesday,0.90168,,
1998-08-05,Wednesday,0.92337,,
1998-08-06,Thursday,0.91466,,
1998-08-07,Friday,0.93556,,start
1998-08-08,Saturday,0.93556,imputed from 357,
1998-08-09,Sunday,0.93556,imputed from 358,
1998-08-10,Monday,0.93182,,
1998-08-11,Tuesday,0.91648,,
1998-08-12,Wednesday,0.89773,,
1998-08-13,Thursday,0.90885,,
1998-08-14,Friday,0.91216,,start
1998-08-15,Saturday,0.91216,imputed from 364,
1998-08-16,Sunday,0.91216,imputed from 365,
1998-08-17,Monday,0.89262,,
1998-08-18,Tuesday,0.91914,,
1998-08-19,Wednesday,0.89706,,
1998-08-20,Thursday,0.8979,,
1998-08-21,Friday,0.88338,,start
1998-08-22,Saturday,0.88338,imputed from 371,
1998-08-23,Sunday,0.88338,imputed from 372,
1998-08-24,Monday,0.88283,,
1998-08-25,Tuesday,0.8821,,
1998-08-26,Wednesday,0.89488,,
1998-08-27,Thursday,0.89434,,
1998-08-28,Friday,0.87362,,start
1998-08-29,Saturday,0.87362,imputed from 378,
1998-08-30,Sunday,0.87362,imputed from 379,
1998-08-31,Monday,0.85167,,
1998-09-01,Tuesday,0.8473,,
1998-09-02,Wednesday,0.84331,,
1998-09-03,Thursday,0.82276,,
1998-09-04,Friday,0.82654,,start
1998-09-05,Saturday,0.82654,imputed from 385,
1998-09-06,Sunday,0.82654,imputed from 386,
1998-09-07,Monday,0.82654,imputed from 387,
1998-09-08,Tuesday,0.83332,,
1998-09-09,Wednesday,0.83237,,
1998-09-10,Thursday,0.82798,,
1998-09-11,Friday,0.85199,,start
1998-09-12,Saturday,0.85199,imputed from 392,
1998-09-13,Sunday,0.85199,imputed from 393,
1998-09-14,Monday,0.85816,,
1998-09-15,Tuesday,0.86602,,
1998-09-16,Wednesday,0.85784,,
1998-09-17,Thursday,0.86398,,
1998-09-18,Friday,0.86706,,start
1998-09-19,Saturday,0.86706,imputed from 399,
1998-09-20,Sunday,0.86706,imputed from 400,
1998-09-21,Monday,0.85846,,
1998-09-22,Tuesday,0.85797,,
1998-09-23,Wednesday,0.85243,,
1998-09-24,Thursday,0.84318,,
1998-09-25,Friday,0.83823,,start
1998-09-26,Saturday,0.83823,imputed from 406,
1998-09-27,Sunday,0.83823,imputed from 407,
1998-09-28,Monday,0.827,,
1998-09-29,Tuesday,0.82687,,
1998-09-30,Wednesday,0.81583,,
1998-10-01,Thursday,0.81222,,
1998-10-02,Friday,0.80627,,start
1998-10-03,Saturday,0.80627,imputed from 413,
1998-10-04,Sunday,0.80627,imputed from 414,
1998-10-05,Monday,0.83347,,
1998-10-06,Tuesday,0.84449,,
1998-10-07,Wednesday,0.83949,,
1998-10-08,Thursday,0.8272,,
1998-10-09,Friday,0.86376,,start
1998-10-10,Saturday,0.86376,imputed from 420,
1998-10-11,Sunday,0.86376,imputed from 421,
1998-10-12,Monday,0.87666,,
1998-10-13,Tuesday,0.87316,,
1998-10-14,Wednesday,0.87344,,
1998-10-15,Thursday,0.86954,,
1998-10-16,Friday,0.8612,,start
1998-10-17,Saturday,0.8612,imputed from 427,
1998-10-18,Sunday,0.8612,imputed from 428,
1998-10-19,Monday,0.87318,,
1998-10-20,Tuesday,0.87941,,
1998-10-21,Wednesday,0.86963,,
1998-10-22,Thursday,0.87443,,
1998-10-23,Friday,0.88655,,start
1998-10-24,Saturday,0.88655,imputed from 434,
1998-10-25,Sunday,0.88655,imputed from 435,
1998-10-26,Monday,0.89316,,
1998-10-27,Tuesday,0.88891,,
1998-10-28,Wednesday,0.88847,,
1998-10-29,Thursday,0.87506,,
1998-10-30,Friday,0.88043,,start
1998-10-31,Saturday,0.88043,imputed from 441,
1998-11-01,Sunday,0.88043,imputed from 442,
1998-11-02,Monday,0.86752,,
1998-11-03,Tuesday,0.87454,,
1998-11-04,Wednesday,0.88172,,
1998-11-05,Thursday,0.8713,,
1998-11-06,Friday,0.88946,,start
1998-11-07,Saturday,0.88946,imputed from 448,
1998-11-08,Sunday,0.88946,imputed from 449,
1998-11-09,Monday,0.89717,,
1998-11-10,Tuesday,0.88063,,
1998-11-11,Wednesday,0.88227,,
1998-11-12,Thursday,0.88922,,
1998-11-13,Friday,0.88595,,start
1998-11-14,Saturday,0.88595,imputed from 455,
1998-11-15,Sunday,0.88595,imputed from 456,
1998-11-16,Monday,0.85971,,
1998-11-17,Tuesday,0.86087,,
1998-11-18,Wednesday,0.85405,,
1998-11-19,Thursday,0.86247,,
1998-11-20,Friday,0.85948,,start
1998-11-21,Saturday,0.85948,imputed from 462,
1998-11-22,Sunday,0.85948,imputed from 463,
1998-11-23,Monday,0.861,,
1998-11-24,Tuesday,0.88179,,
1998-11-25,Wednesday,0.89306,,
1998-11-26,Thursday,0.89306,imputed from 467,
1998-11-27,Friday,0.89545,,start
1998-11-28,Saturday,0.89545,imputed from 469,
1998-11-29,Sunday,0.89545,imputed from 470,
1998-11-30,Monday,0.88037,,
1998-12-01,Tuesday,0.87298,,
1998-12-02,Wednesday,0.84714,,
1998-12-03,Thursday,0.84981,,
1998-12-04,Friday,0.85475,,start
1998-12-05,Saturday,0.85475,imputed from 476,
1998-12-06,Sunday,0.85475,imputed from 477,
1998-12-07,Monday,0.84533,,
1998-12-08,Tuesday,0.8288,,
1998-12-09,Wednesday,0.81079,,
1998-12-10,Thursday,0.78818,,
1998-12-11,Friday,0.77297,,start
1998-12-12,Saturday,0.77297,imputed from 483,
1998-12-13,Sunday,0.77297,imputed from 484,
1998-12-14,Monday,0.78441,,
1998-12-15,Tuesday,0.77223,,
1998-12-16,Wednesday,0.79145,,
1998-12-17,Thursday,0.79516,,
1998-12-18,Friday,0.79404,,start
1998-12-19,Saturday,0.79404,imputed from 490,
1998-12-20,Sunday,0.79404,imputed from 491,
1998-12-21,Monday,0.79121,,
1998-12-22,Tuesday,0.8004,,
1998-12-23,Wednesday,0.80762,,
1998-12-24,Thursday,0.82965,,
1998-12-25,Friday,0.82965,imputed from 496,start
1998-12-26,Saturday,0.82965,imputed from 497,
1998-12-27,Sunday,0.82965,imputed from 498,
1998-12-28,Monday,0.83662,,
1998-12-29,Tuesday,0.8258,,
1998-12-30,Wednesday,0.83685,,
1998-12-31,Thursday,0.83161,,
1999-01-01,Friday,0.83161,imputed from 503,start
1999-01-02,Saturday,0.83161,imputed from 504,
1999-01-03,Sunday,0.83161,imputed from 505,
1999-01-04,Monday,0.81406,,
1999-01-05,Tuesday,0.83216,,
1999-01-06,Wednesday,0.86535,,
1999-01-07,Thursday,0.85261,,
1999-01-08,Friday,0.87266,,start
1999-01-09,Saturday,0.87266,imputed from 511,
1999-01-10,Sunday,0.87266,imputed from 512,
1999-01-11,Monday,0.86975,,
1999-01-12,Tuesday,0.86401,,
1999-01-13,Wednesday,0.84822,,
1999-01-14,Thursday,0.84905,,
1999-01-15,Friday,0.87064,,start
1999-01-16,Saturday,0.87064,imputed from 518,
1999-01-17,Sunday,0.87064,imputed from 519,
1999-01-18,Monday,0.87064,imputed from 520,
1999-01-19,Tuesday,0.86591,,
1999-01-20,Wednesday,0.87778,,
1999-01-21,Thursday,0.86463,,
1999-01-22,Friday,0.87343,,start
1999-01-23,Saturday,0.87343,imputed from 525,
1999-01-24,Sunday,0.87343,imputed from 526,
1999-01-25,Monday,0.87469,,
1999-01-26,Tuesday,0.87085,,
1999-01-27,Wednesday,0.87341,,
1999-01-28,Thursday,0.87978,,
1999-01-29,Friday,0.8774,,start
1999-01-30,Saturday,0.8774,imputed from 532,
1999-01-31,Sunday,0.8774,imputed from 533,
1999-02-01,Monday,0.89076,,
1999-02-02,Tuesday,0.89183,,
1999-02-03,Wednesday,0.91033,,
1999-02-04,Thursday,0.91703,,
1999-02-05,Friday,0.92818,,start
1999-02-06,Saturday,0.92818,imputed from 539,
1999-02-07,Sunday,0.92818,imputed from 540,
1999-02-08,Monday,0.95969,,
1999-02-09,Tuesday,0.95656,,
1999-02-10,Wednesday,0.94559,,
1999-02-11,Thursday,0.95156,,
1999-02-12,Friday,0.95727,,start
1999-02-13,Saturday,0.95727,imputed from 546,
1999-02-14,Sunday,0.95727,imputed from 547,
1999-02-15,Monday,0.95727,imputed from 548,
1999-02-16,Tuesday,0.96558,,
1999-02-17,Wednesday,0.94787,,
1999-02-18,Thursday,0.95009,,
1999-02-19,Friday,0.96408,,start
1999-02-20,Saturday,0.96408,imputed from 553,
1999-02-21,Sunday,0.96408,imputed from 554,
1999-02-22,Monday,0.96359,,
1999-02-23,Tuesday,0.97941,,
1999-02-24,Wednesday,0.97924,,
1999-02-25,Thursday,0.98626,,
1999-02-26,Friday,0.98432,,start
1999-02-27,Saturday,0.98432,imputed from 560,
1999-02-28,Sunday,0.98432,imputed from 561,
1999-03-01,Monday,0.99706,,
1999-03-02,Tuesday,0.98747,,
1999-03-03,Wednesday,0.997,,
1999-03-04,Thursday,0.99325,,
1999-03-05,Friday,0.99629,,start
1999-03-06,Saturday,0.99629,imputed from 567,
1999-03-07,Sunday,0.99629,imputed from 568,
1999-03-08,Monday,1.00154,,
1999-03-09,Tuesday,1.00554,,
1999-03-10,Wednesday,0.99976,,
1999-03-11,Thursday,0.97851,,
1999-03-12,Friday,0.98247,,start
1999-03-13,Saturday,0.98247,imputed from 574,
1999-03-14,Sunday,0.98247,imputed from 575,
1999-03-15,Monday,0.97203,,
1999-03-16,Tuesday,0.97402,,
1999-03-17,Wednesday,0.96902,,
1999-03-18,Thursday,0.97515,,
1999-03-19,Friday,0.97809,,start
1999-03-20,Saturday,0.97809,imputed from 581,
1999-03-21,Sunday,0.97809,imputed from 582,
1999-03-22,Monday,0.98108,,
1999-03-23,Tuesday,0.98303,,
1999-03-24,Wednesday,0.97326,,
1999-03-25,Thursday,0.96834,,
1999-03-26,Friday,0.98678,,start
1999-03-27,Saturday,0.98678,imputed from 588,
1999-03-28,Sunday,0.98678,imputed from 589,
1999-03-29,Monday,0.99321,,
1999-03-30,Tuesday,0.99327,,
1999-03-31,Wednesday,0.97797,,
1999-04-01,Thursday,0.98993,,
1999-04-02,Friday,0.98993,imputed from 594,start
1999-04-03,Saturday,0.98993,imputed from 595,
1999-04-04,Sunday,0.98993,imputed from 596,
1999-04-05,Monday,0.965,,
1999-04-06,Tuesday,0.96115,,
1999-04-07,Wednesday,0.95485,,
1999-04-08,Thursday,0.94425,,
1999-04-09,Friday,0.963,,start
1999-04-10,Saturday,0.963,imputed from 602,
1999-04-11,Sunday,0.963,imputed from 603,
1999-04-12,Monday,0.96122,,
1999-04-13,Tuesday,0.95105,,
1999-04-14,Wednesday,0.94637,,
1999-04-15,Thursday,0.93531,,
1999-04-16,Friday,0.94784,,start
1999-04-17,Saturday,0.94784,imputed from 609,
1999-04-18,Sunday,0.94784,imputed from 610,
1999-04-19,Monday,0.94778,,
1999-04-20,Tuesday,0.96079,,
1999-04-21,Wednesday,0.95637,,
1999-04-22,Thursday,0.94595,,
1999-04-23,Friday,0.94665,,start
1999-04-24,Saturday,0.94665,imputed from 616,
1999-04-25,Sunday,0.94665,imputed from 617,
1999-04-26,Monday,0.9588,,
1999-04-27,Tuesday,0.96054,,
1999-04-28,Wednesday,0.96253,,
1999-04-29,Thursday,0.95261,,
1999-04-30,Friday,0.95701,,start
1999-05-01,Saturday,0.95701,imputed from 623,
1999-05-02,Sunday,0.95701,imputed from 624,
1999-05-03,Monday,0.95674,,
1999-05-04,Tuesday,0.94569,,
1999-05-05,Wednesday,0.92299,,
1999-05-06,Thursday,0.91425,,
1999-05-07,Friday,0.91517,,start
1999-05-08,Saturday,0.91517,imputed from 630,
1999-05-09,Sunday,0.91517,imputed from 631,
1999-05-10,Monday,0.90998,,
1999-05-11,Tuesday,0.92284,,
1999-05-12,Wednesday,0.91876,,
1999-05-13,Thursday,0.92407,,
1999-05-14,Friday,0.93184,,start
1999-05-15,Saturday,0.93184,imputed from 637,
1999-05-16,Sunday,0.93184,imputed from 638,
1999-05-17,Monday,0.93399,,
1999-05-18,Tuesday,0.94851,,
1999-05-19,Wednesday,0.94282,,
1999-05-20,Thursday,0.94904,,
1999-05-21,Friday,0.96355,,start
1999-05-22,Saturday,0.96355,imputed from 644,
1999-05-23,Sunday,0.96355,imputed from 645,
1999-05-24,Monday,0.95849,,
1999-05-25,Tuesday,0.94451,,
1999-05-26,Wednesday,0.96926,,
1999-05-27,Thursday,0.96799,,
1999-05-28,Friday,0.98277,,start
1999-05-29,Saturday,0.98277,imputed from 651,
1999-05-30,Sunday,0.98277,imputed from 652,
1999-05-31,Monday,0.98277,imputed from 653,
1999-06-01,Tuesday,0.9815,,
1999-06-02,Wednesday,0.99246,,
1999-06-03,Thursday,0.99792,,
1999-06-04,Friday,0.99634,,start
1999-06-05,Saturday,0.99634,imputed from 658,
1999-06-06,Sunday,0.99634,imputed from 659,
1999-06-07,Monday,0.99935,,
