,weekday,CL1_Comdty_PX-LAST-CHF,CL1_Comdty_start,CL1_Comdty_weeklyReturn,QS1_Comdty_PX-LAST-CHF,QS1_Comdty_start,QS1_Comdty_weeklyReturn,XB1_Comdty_PX-LAST-CHF,XB1_Comdty_start,XB1_Comdty_weeklyReturn,HO1_Comdty_PX-LAST-CHF,HO1_Comdty_start,HO1_Comdty_weeklyReturn,NG1_Comdty_PX-LAST-CHF,NG1_Comdty_start,NG1_Comdty_weeklyReturn,LMAHDS03 LME_Comdty_PX-LAST-CHF,LMAHDS03 LME_Comdty_start,LMAHDS03 LME_Comdty_weeklyReturn,LMCADS03_Comdty_PX-LAST-CHF,LMCADS03_Comdty_start,LMCADS03_Comdty_weeklyReturn,LMNIDS03_Comdty_PX-LAST-CHF,LMNIDS03_Comdty_start,LMNIDS03_Comdty_weeklyReturn,GC1_Comdty_PX-LAST-CHF,GC1_Comdty_start,GC1_Comdty_weeklyReturn,SI1_Comdty_PX-LAST-CHF,SI1_Comdty_start,SI1_Comdty_weeklyReturn,LC1_Comdty_PX-LAST-CHF,LC1_Comdty_start,LC1_Comdty_weeklyReturn,KC1_Comdty_PX-LAST-CHF,KC1_Comdty_start,KC1_Comdty_weeklyReturn,C 1_Comdty_PX-LAST-CHF,C 1_Comdty_start,C 1_Comdty_weeklyReturn,CT1_Comdty_PX-LAST-CHF,CT1_Comdty_start,CT1_Comdty_weeklyReturn,S 1_Comdty_PX-LAST-CHF,S 1_Comdty_start,S 1_Comdty_weeklyReturn,SB1_Comdty_PX-LAST-CHF,SB1_Comdty_start,SB1_Comdty_weeklyReturn,W 1_Comdty_PX-LAST-CHF,W 1_Comdty_start,W 1_Comdty_weeklyReturn
1997-08-25,Monday,78.82814,,,175.23089,,,,excluded,,0.73227,,,2411.96383,,,2447.1513,,,3264.8616,,,9941.085,,,991.98404,,,14.53462,,,2.19856,,,51.91833,,,47.01819,,,6.84177,,,4.92549,,,0.29207,,,257.59098,,
1997-08-26,Tuesday,78.24649,,,170.51456,,,,excluded,,0.72458,,,2415.70558,,,2474.0235,,,3245.2056,,,9881.235,,,986.35778,,,14.55303,,,2.18801,,,53.30783,,,45.33373,,,6.70721,,,4.88039,,,0.29284,,,254.55091,,
1997-08-27,Wednesday,80.60628,,,172.17717,,,,excluded,,0.74579,,,2411.39789,,,2469.5658,,,3269.8188,,,9917.154,,,992.32222,,,14.59651,,,2.15948,,,55.54959,,,46.45765,,,6.8201,,,4.9704,,,0.29304,,,261.3507,,
1997-08-28,Thursday,79.25545,,,171.11037,,,,excluded,,0.72851,,,2556.64156,,,2420.847,,,3180.372,,,9781.2,,,978.05283,,,14.47106,,,2.1269,,,55.99566,,,45.56368,,,6.77846,,,4.86559,,,0.28935,,,262.27638,,
1997-08-29,Friday,79.99283,start,-0.005500819354290846,172.70101,start,-0.014437408838133457,,excluded,,0.72493,start,-0.030116129722787155,2632.74406,start,0.11022194009713425,2436.64525,start,-0.004293175497567298,3278.2325,start,0.004095395651687009,10140.865,start,0.020096397928395206,986.85503,start,-0.00794642075457387,14.50595,start,-0.01452604218680048,2.14261,start,-0.02594025467456477,57.92746,start,0.12790404704187242,45.91724,start,-0.022864888905913212,6.78162,start,-0.014359588513491877,4.95484,start,0.01028670232179734,0.28959,start,-0.01703947591731431,264.98413,start,0.021390941793495728
1997-08-30,Saturday,79.99283,,,172.70101,,,,excluded,,0.72493,,,2632.74406,,,2436.64525,,,3278.2325,,,10140.865,,,986.85503,,,14.50595,,,2.14261,,,57.92746,,,45.91724,,,6.78162,,,4.95484,,,0.28959,,,264.98413,,
1997-08-31,Sunday,79.99283,,,172.70101,,,,excluded,,0.72493,,,2632.74406,,,2436.64525,,,3278.2325,,,10140.865,,,986.85503,,,14.50595,,,2.14261,,,57.92746,,,45.91724,,,6.78162,,,4.95484,,,0.28959,,,264.98413,,
1997-09-01,Monday,79.99283,,,171.92393,,,,excluded,,0.72493,,,2632.74406,,,2425.6064,,,3263.516,,,9895.1,,,986.85503,,,14.50595,,,2.14261,,,57.92746,,,45.91724,,,6.78208,,,4.95484,,,0.28959,,,264.98413,,
1997-09-02,Tuesday,80.7249,,,174.4562,,,,excluded,,0.73255,,,2728.60844,,,2406.56,,,3217.2699,,,9957.142,,,989.27916,,,14.53718,,,2.16423,,,59.97623,,,46.75838,,,6.87673,,,5.05582,,,0.29416,,,266.86484,,
1997-09-03,Wednesday,80.34098,,,172.92463,,,,excluded,,0.72987,,,2734.81052,,,2407.5,,,3219.0,,,10102.5,,,984.451,,,14.6375,,,2.16234,,,61.28421,,,46.54528,,,6.78303,,,5.10767,,,0.29085,,,263.43549,,
1997-09-04,Thursday,79.26867,,,171.93689,,,,excluded,,0.71687,,,2601.19874,,,2423.52,,,3237.344,,,9993.28,,,979.69997,,,14.60777,,,2.14699,,,62.89474,,,46.07951,,,6.81447,,,5.10595,,,0.29033,,,260.20672,,
1997-09-05,Friday,79.16832,start,-0.010307298791654247,171.00667,start,-0.009810828552768642,,excluded,,0.72427,start,-0.0009104327314361303,2586.64829,start,-0.017508640775358887,2389.1388,start,-0.019496662470665296,3202.7454,start,-0.02302676823562706,9944.901,start,-0.019324189800376985,970.59232,start,-0.016479330302445826,14.47956,start,-0.0018192534787449994,2.13885,start,-0.0017548690615649901,60.12124,start,0.03787115816919984,44.55461,start,-0.0296757819067523,6.69013,start,-0.013490876811145462,5.01625,start,0.012393942084910998,0.28484,start,-0.01640250008632906,257.33108,start,-0.028881163562512243
1997-09-06,Saturday,79.16832,,,171.00667,,,,excluded,,0.72427,,,2586.64829,,,2389.1388,,,3202.7454,,,9944.901,,,970.59232,,,14.47956,,,2.13885,,,60.12124,,,44.55461,,,6.69013,,,5.01625,,,0.28484,,,257.33108,,
1997-09-07,Sunday,79.16832,,,171.00667,,,,excluded,,0.72427,,,2586.64829,,,2389.1388,,,3202.7454,,,9944.901,,,970.59232,,,14.47956,,,2.13885,,,60.12124,,,44.55461,,,6.69013,,,5.01625,,,0.28484,,,257.33108,,
1997-09-08,Monday,78.89392,,,170.68414,,,,excluded,,0.71977,,,2592.85681,,,2382.1004,,,3187.0246,,,9927.8935,,,974.06917,,,14.4767,,,2.17177,,,60.09912,,,44.59912,,,6.76853,,,5.01755,,,0.28573,,,253.96385,,
1997-09-09,Tuesday,78.9791,,,171.65651,,,,excluded,,0.71745,,,2610.30438,,,2404.735,,,3180.504,,,9886.96,,,975.11582,,,14.69376,,,2.1878,,,58.90862,,,45.01378,,,6.76956,,,5.09588,,,0.28623,,,256.64235,,
1997-09-10,Wednesday,78.45399,,,167.93555,,,,excluded,,0.69569,,,2595.83123,,,2407.23525,,,3178.5859,,,9836.015,,,968.63251,,,14.55927,,,2.19378,,,58.34156,,,45.22118,,,6.72825,,,5.01297,,,0.28186,,,253.27083,,
1997-09-11,Thursday,77.97689,,,168.8875,,,,excluded,,0.69969,,,2647.9743,,,2387.718,,,3089.2944,,,9727.74,,,972.7072,,,14.56003,,,2.17742,,,59.80476,,,45.86162,,,6.67882,,,5.02857,,,0.28481,,,251.21891,,
1997-09-12,Friday,77.38512,start,-0.022524161179623286,167.27227,start,-0.02183774469147912,,excluded,,0.70327,start,-0.028994711916826624,2662.30281,start,0.029248089232881386,2374.99675,start,-0.005919308664695572,3076.717,start,-0.03935011506066005,9605.575,start,-0.03412060110000081,966.93043,start,-0.003772840485694314,14.51733,start,0.0026085046783189602,2.17353,start,0.01621432077985825,54.49309,start,-0.09361333864704051,44.24986,start,-0.006839920717519434,6.76985,start,0.011916061421825885,4.90999,start,-0.021183154747072153,0.28166,start,-0.011164162336750319,247.48115,start,-0.03827726522579384
1997-09-13,Saturday,77.38512,,,167.27227,,,,excluded,,0.70327,,,2662.30281,,,2374.99675,,,3076.717,,,9605.575,,,966.93043,,,14.51733,,,2.17353,,,54.49309,,,44.24986,,,6.76985,,,4.90999,,,0.28166,,,247.48115,,
1997-09-14,Sunday,77.38512,,,167.27227,,,,excluded,,0.70327,,,2662.30281,,,2374.99675,,,3076.717,,,9605.575,,,966.93043,,,14.51733,,,2.17353,,,54.49309,,,44.24986,,,6.76985,,,4.90999,,,0.28166,,,247.48115,,
1997-09-15,Monday,75.97431,,,164.90059,,,,excluded,,0.69145,,,2612.11005,,,2331.2525,,,3050.1155,,,9382.75,,,947.37001,,,14.23578,,,2.12557,,,53.80962,,,43.8031,,,6.59786,,,4.85978,,,0.27314,,,240.18709,,
1997-09-16,Tuesday,77.68972,,,168.98895,,,,excluded,,0.7124,,,2564.48064,,,2335.305,,,3005.436,,,9355.725,,,946.36952,,,13.8778,,,2.11266,,,52.44437,,,43.64286,,,6.64073,,,4.97566,,,0.27374,,,243.31139,,
1997-09-17,Wednesday,77.62654,,,169.73777,,,,excluded,,0.71211,,,2550.39219,,,2363.5525,,,3045.5435,,,9468.845,,,953.06874,,,13.97184,,,2.1355,,,54.7287,,,44.07578,,,6.71213,,,4.99891,,,0.27668,,,246.31584,,
1997-09-18,Thursday,77.62544,,,170.59725,,,,excluded,,0.71477,,,2749.93496,,,2405.79325,,,3117.779,,,9546.915,,,956.51092,,,14.24371,,,2.12579,,,53.63942,,,44.29172,,,6.72589,,,4.93915,,,0.27504,,,243.68391,,
1997-09-19,Friday,77.19346,start,-0.002476703531635007,169.65617,start,0.01425161504653468,,excluded,,0.71203,start,0.012456097942468897,2691.4369,start,0.010943191695012339,2392.4628,start,0.007354136379344518,3108.1568,start,0.010218619392033815,9559.627,start,-0.004783472098234652,953.55221,start,-0.013835762723901508,14.24696,start,-0.018623948067585418,2.11723,start,-0.025902564031782305,54.84069,start,0.006378790411775142,43.65488,start,-0.013445918246972976,6.68423,start,-0.012647252154774417,4.95027,start,0.008203682695891458,0.27272,start,-0.03174039622239581,241.71693,start,-0.023291551699998254
1997-09-20,Saturday,77.19346,,,169.65617,,,,excluded,,0.71203,,,2691.4369,,,2392.4628,,,3108.1568,,,9559.627,,,953.55221,,,14.24696,,,2.11723,,,54.84069,,,43.65488,,,6.68423,,,4.95027,,,0.27272,,,241.71693,,
1997-09-21,Sunday,77.19346,,,169.65617,,,,excluded,,0.71203,,,2691.4369,,,2392.4628,,,3108.1568,,,9559.627,,,953.55221,,,14.24696,,,2.11723,,,54.84069,,,43.65488,,,6.68423,,,4.95027,,,0.27272,,,241.71693,,
1997-09-22,Monday,78.95632,,,174.66121,,,,excluded,,0.73622,,,2867.23218,,,2440.9595,,,3100.2398,,,9616.348,,,962.88796,,,14.2886,,,2.15056,,,54.16925,,,44.16649,,,6.629,,,4.97136,,,0.27243,,,241.92489,,
1997-09-23,Tuesday,79.01677,,,175.12365,,,,excluded,,0.73371,,,2914.77372,,,2436.6565,,,3096.2469,,,9496.335,,,964.17933,,,14.33056,,,2.13576,,,53.59762,,,44.08863,,,6.76364,,,4.92745,,,0.27023,,,243.32168,,
1997-09-24,Wednesday,78.88026,,,173.25159,,,,excluded,,0.73492,,,2860.37298,,,2392.268,,,3072.75155,,,9394.028,,,959.4186,,,14.37963,,,2.1028,,,53.03962,,,43.47317,,,6.67234,,,4.93803,,,0.26236,,,239.92452,,
1997-09-25,Thursday,80.52769,,,175.25244,,,,excluded,,0.75058,,,3119.57241,,,2372.3127,,,3040.7544,,,9604.2985,,,967.89147,,,14.44655,,,2.11255,,,52.12032,,,43.15221,,,6.6326,,,4.90094,,,0.25828,,,239.85767,,
1997-09-26,Friday,82.31019,start,0.0662845013036079,175.77268,start,0.03605238760252577,,excluded,,0.76825,start,0.07895734730278209,3160.62893,start,0.1743277094848479,2389.4149,start,-0.0012739592022076884,3054.03,start,-0.01741443674913698,9932.869,start,0.039043573562022885,965.08611,start,0.012095719436275038,14.53826,start,0.02044646717615545,2.1244,start,0.0033865002857506733,51.92332,start,-0.05319717895599062,42.76082,start,-0.020480184575011915,6.57501,start,-0.016339952395414362,4.873,start,-0.015609249596486557,0.26473,start,-0.029297447931944838,233.96164,start,-0.03208418210507639
1997-09-27,Saturday,82.31019,,,175.77268,,,,excluded,,0.76825,,,3160.62893,,,2389.4149,,,3054.03,,,9932.869,,,965.08611,,,14.53826,,,2.1244,,,51.92332,,,42.76082,,,6.57501,,,4.873,,,0.26473,,,233.96164,,
1997-09-28,Sunday,82.31019,,,175.77268,,,,excluded,,0.76825,,,3160.62893,,,2389.4149,,,3054.03,,,9932.869,,,965.08611,,,14.53826,,,2.1244,,,51.92332,,,42.76082,,,6.57501,,,4.873,,,0.26473,,,233.96164,,
1997-09-29,Monday,83.77915,,,177.90852,,,,excluded,,0.77159,,,2917.10577,,,2378.7247,,,3166.3049,,,10302.479,,,968.39314,,,15.3788,,,2.11722,,,50.36103,,,42.93295,,,6.55613,,,4.83237,,,0.26816,,,234.91371,,
1997-09-30,Tuesday,83.31455,,,182.90272,,,,excluded,,0.76637,,,2976.59484,,,2383.1715,,,3093.9165,,,9964.935,,,985.67764,,,15.73319,,,2.0964,,,50.81819,,,42.6905,,,6.40651,,,4.78141,,,0.26768,,,231.39076,,
1997-10-01,Wednesday,83.36262,,,181.59159,,,,excluded,,0.76394,,,3037.54323,,,2447.4628,,,3095.836,,,10112.5775,,,989.98077,,,15.6972,,,2.07549,,,51.11431,,,42.72881,,,6.45791,,,4.80597,,,0.27252,,,230.65251,,
1997-10-02,Thursday,85.96011,,,181.31082,,,,excluded,,0.78276,,,3017.9348,,,2443.168,,,3040.128,,,9915.36,,,979.42994,,,15.6057,,,2.06627,,,50.55571,,,42.76925,,,6.4353,,,4.84587,,,0.2759,,,232.59598,,
1997-10-03,Friday,89.3754,start,0.08583639522639898,189.15355,start,0.07612599409646588,,excluded,,0.80723,start,0.05073869183208593,3012.92236,start,-0.04673328418847316,2400.784,start,0.004758110447875707,3008.944,start,-0.01476278883966439,9745.04,start,-0.018909843671551463,983.97879,start,0.01957615989313124,15.91921,start,0.09498729559108177,2.0526,start,-0.033797778196196615,50.5589,start,-0.02627759550044172,43.77432,start,0.023701603477201804,6.42139,start,-0.02336422302019314,4.91141,start,0.007882208085368322,0.27508,start,0.03909643788010414,233.27416,start,-0.0029384304196191893
1997-10-04,Saturday,89.3754,,,189.15355,,,,excluded,,0.80723,,,3012.92236,,,2400.784,,,3008.944,,,9745.04,,,983.97879,,,15.91921,,,2.0526,,,50.5589,,,43.77432,,,6.42139,,,4.91141,,,0.27508,,,233.27416,,
1997-10-05,Sunday,89.3754,,,189.15355,,,,excluded,,0.80723,,,3012.92236,,,2400.784,,,3008.944,,,9745.04,,,983.97879,,,15.91921,,,2.0526,,,50.5589,,,43.77432,,,6.42139,,,4.91141,,,0.27508,,,233.27416,,
1997-10-06,Monday,86.26478,,,187.20333,,,,excluded,,0.77837,,,2877.11747,,,2399.127,,,3038.7975,,,9645.825,,,978.94847,,,15.65801,,,2.05923,,,53.14801,,,44.34678,,,6.35906,,,4.98143,,,0.27347,,,232.04395,,
1997-10-07,Tuesday,86.15053,,,186.1954,,,,excluded,,0.77511,,,2771.13498,,,2379.657,,,3014.7144,,,9605.424,,,972.52313,,,15.60092,,,2.03983,,,50.57239,,,46.20973,,,6.35714,,,5.09464,,,0.27227,,,238.26004,,
1997-10-08,Wednesday,87.09782,,,187.38576,,,,excluded,,0.78315,,,2810.45398,,,2360.24,,,3021.976,,,9730.56,,,979.30569,,,15.70007,,,2.04952,,,52.13545,,,46.75047,,,6.38027,,,5.12453,,,0.27508,,,236.53445,,
1997-10-09,Thursday,87.27612,,,187.27185,,,,excluded,,0.78583,,,2834.50236,,,2388.9458,,,3059.6547,,,9631.438,,,966.0712,,,15.45818,,,2.07013,,,51.36444,,,47.13938,,,6.40529,,,5.19525,,,0.27801,,,241.59258,,
1997-10-10,Friday,87.26913,start,-0.023566551869977588,186.92248,start,-0.011795020500540373,,excluded,,0.78478,start,-0.02781115667158055,2988.08669,start,-0.008243050112980653,2396.7406,start,-0.0016841998280561765,3049.0734,start,0.0133367055019968,9530.1745,start,-0.022048703750831365,972.74206,start,-0.011419687206875634,15.68224,start,-0.014885788930480813,2.07261,start,0.009748611517100304,52.14455,start,0.03136243074908673,47.92646,start,0.09485332953201775,6.43933,start,0.0027937876378790714,5.40805,start,0.10111963774150401,0.27755,start,0.00897920604914944,239.49687,start,0.02667552205525038
1997-10-11,Saturday,87.26913,,,186.92248,,,,excluded,,0.78478,,,2988.08669,,,2396.7406,,,3049.0734,,,9530.1745,,,972.74206,,,15.68224,,,2.07261,,,52.14455,,,47.92646,,,6.43933,,,5.40805,,,0.27755,,,239.49687,,
1997-10-12,Sunday,87.26913,,,186.92248,,,,excluded,,0.78478,,,2988.08669,,,2396.7406,,,3049.0734,,,9530.1745,,,972.74206,,,15.68224,,,2.07261,,,52.14455,,,47.92646,,,6.43933,,,5.40805,,,0.27755,,,239.49687,,
1997-10-13,Monday,84.54173,,,183.40502,,,,excluded,,0.76598,,,2952.89869,,,2398.008,,,3045.7626,,,9511.611,,,972.68808,,,15.60243,,,2.09219,,,52.93045,,,48.58639,,,6.44375,,,5.58,,,0.27661,,,244.45091,,
1997-10-14,Tuesday,81.98216,,,182.67392,,,,excluded,,0.7485,,,2923.00903,,,2385.5634,,,3082.9044,,,9412.278,,,970.01783,,,15.38037,,,2.05696,,,52.393,,,47.6511,,,6.45925,,,5.46856,,,0.2751,,,241.02618,,
1997-10-15,Wednesday,81.57328,,,179.87571,,,,excluded,,0.74855,,,2958.94258,,,2379.1621,,,3105.9252,,,9548.819,,,967.7404,,,15.36097,,,2.06119,,,52.35082,,,48.42273,,,6.42884,,,5.46404,,,0.27663,,,243.47988,,
1997-10-16,Thursday,82.84107,,,181.45505,,,,excluded,,0.75969,,,3149.35607,,,2367.1375,,,3063.4401,,,9585.086,,,960.21466,,,14.82801,,,2.07346,,,49.38657,,,47.73829,,,6.41861,,,5.42574,,,0.27394,,,239.59556,,
1997-10-17,Friday,82.39525,start,-0.05584884368619235,187.38341,start,0.002465888533043166,,excluded,,0.76146,start,-0.029715334233798015,3230.5005,start,0.081126766104634,2403.7524,start,0.002925556482833297,3113.516,start,0.021135142236982506,9628.29,start,0.01029524695481722,970.88718,start,-0.0019068569935179875,15.16724,start,-0.03283969636990638,2.08858,start,0.007705260516932668,47.81627,start,-0.08300541475571271,47.5152,start,-0.008581063571146266,6.52466,start,0.013251378637218455,5.41591,start,0.0014533889294662545,0.27514,start,-0.008683120158530077,241.37522,start,0.0078428999928058
1997-10-18,Saturday,82.39525,,,187.38341,,,,excluded,,0.76146,,,3230.5005,,,2403.7524,,,3113.516,,,9628.29,,,970.88718,,,15.16724,,,2.08858,,,47.81627,,,47.5152,,,6.52466,,,5.41591,,,0.27514,,,241.37522,,
1997-10-19,Sunday,82.39525,,,187.38341,,,,excluded,,0.76146,,,3230.5005,,,2403.7524,,,3113.516,,,9628.29,,,970.88718,,,15.16724,,,2.08858,,,47.81627,,,47.5152,,,6.52466,,,5.41591,,,0.27514,,,241.37522,,
1997-10-20,Monday,82.69509,,,182.73335,,,,excluded,,0.76573,,,3325.07377,,,2392.3144,,,3152.434,,,9560.419,,,965.08244,,,15.08046,,,2.07799,,,47.8623,,,47.60291,,,6.46723,,,5.39892,,,0.27867,,,245.77566,,
1997-10-21,Tuesday,83.50577,,,184.79253,,,,excluded,,0.77195,,,3376.42981,,,2380.5406,,,3110.4936,,,9608.565,,,973.2534,,,15.37393,,,2.12043,,,48.24106,,,48.9048,,,6.63758,,,5.48939,,,0.27919,,,252.23485,,
1997-10-22,Wednesday,85.16042,,,186.34287,,,,excluded,,0.78169,,,3484.33085,,,2361.282,,,3108.4295,,,9513.185,,,965.69425,,,15.43737,,,2.1256,,,47.91075,,,49.62582,,,6.60766,,,5.47927,,,0.27705,,,249.1753,,
1997-10-23,Thursday,83.00965,,,184.47881,,,,excluded,,0.76492,,,3344.14826,,,2340.5906,,,3043.6466,,,9190.9925,,,959.28385,,,14.99447,,,2.11214,,,48.06306,,,48.16771,,,6.49726,,,5.39144,,,0.27427,,,241.90076,,
1997-10-24,Friday,82.59369,start,0.00240839126041842,182.82972,start,-0.024301457637044756,,excluded,,0.75148,start,-0.013106400861502887,3462.56597,start,0.0718357635295212,2333.3944,start,-0.029270069579545598,2969.5082,start,-0.04625246827059821,9116.654,start,-0.05313882319705788,912.34096,start,-0.06030177471289708,14.5398,start,-0.041368106524324794,2.09407,start,0.0026285801836654545,48.31708,start,0.010473631673905016,48.49348,start,0.020588780011448926,6.52612,start,0.0002237664491329502,5.43399,start,0.0033383124904216334,0.27633,start,0.004325070873010192,243.55098,start,0.00901401560607587
1997-10-25,Saturday,82.59369,,,182.82972,,,,excluded,,0.75148,,,3462.56597,,,2333.3944,,,2969.5082,,,9116.654,,,912.34096,,,14.5398,,,2.09407,,,48.31708,,,48.49348,,,6.52612,,,5.43399,,,0.27633,,,243.55098,,
1997-10-26,Sunday,82.59369,,,182.82972,,,,excluded,,0.75148,,,3462.56597,,,2333.3944,,,2969.5082,,,9116.654,,,912.34096,,,14.5398,,,2.09407,,,48.31708,,,48.49348,,,6.52612,,,5.43399,,,0.27633,,,243.55098,,
1997-10-27,Monday,82.28547,,,181.53439,,,,excluded,,0.75439,,,3662.60863,,,2270.0546,,,2894.9736,,,8908.729,,,915.46853,,,14.43185,,,2.0957,,,48.12764,,,47.70984,,,6.41619,,,5.37646,,,0.27585,,,236.58216,,
1997-10-28,Tuesday,78.09985,,,173.01363,,,,excluded,,0.72179,,,3279.17381,,,2271.3795,,,2828.2155,,,8849.715,,,906.84093,,,14.15031,,,2.03403,,,46.15328,,,46.1059,,,6.30558,,,5.21179,,,0.26713,,,230.92282,,
1997-10-29,Wednesday,78.84267,,,175.00181,,,,excluded,,0.72839,,,3260.08196,,,2314.8878,,,2860.3173,,,8967.711,,,898.41417,,,14.08309,,,2.01351,,,45.99927,,,45.49726,,,6.26859,,,5.17719,,,0.27139,,,228.86966,,
1997-10-30,Thursday,80.04864,,,175.83699,,,,excluded,,0.73349,,,3233.18557,,,2313.4624,,,2818.8304,,,8689.522,,,898.1618,,,14.16439,,,2.00937,,,44.83891,,,44.84254,,,6.24358,,,5.10425,,,0.27564,,,227.4178,,
1997-10-31,Friday,79.23162,start,-0.04070613626779466,177.13406,start,-0.03115281257336063,,excluded,,0.72643,start,-0.03333422047160273,3289.98068,start,-0.049843177428327806,2284.0771,start,-0.021135432569821953,2819.7792,start,-0.050422154079251325,8839.784,start,-0.03036969484637684,880.51043,start,-0.03488885339533583,13.73597,start,-0.05528480446773681,2.01101,start,-0.03966438562225699,44.82679,start,-0.07223718817445084,44.67962,start,-0.07864686139250057,6.24421,start,-0.043197183012264544,5.11324,start,-0.05902660844057487,0.27665,start,0.0011580356819744036,227.06399,start,-0.0676942051310983
1997-11-01,Saturday,79.23162,,,177.13406,,,,excluded,,0.72643,,,3289.98068,,,2284.0771,,,2819.7792,,,8839.784,,,880.51043,,,13.73597,,,2.01101,,,44.82679,,,44.67962,,,6.24421,,,5.11324,,,0.27665,,,227.06399,,
