date,weekday,UGL1_Comdty_PX-LAST,UGL1_Comdty_CURRENCY-GBP,UGL1_Comdty_PX-LAST-CHF,imputed,UGL1_Comdty_start
2021-09-06,Monday,181.24,1.2662,229.48608800000002,,
2021-09-07,Tuesday,179.8,1.2677,227.93246000000002,,
2021-09-08,Wednesday,180.43,1.2698,229.110014,,
2021-09-09,Thursday,180.37,1.2683,228.763271,,
2021-09-10,Friday,180.31,1.27,228.99370000000002,,start
2021-09-11,Saturday,,,228.99370000000002,imputed from 2845,
2021-09-12,Sunday,,,228.99370000000002,imputed from 2846,
2021-09-13,Monday,180.52,1.2763,230.39767600000002,,
2021-09-14,Tuesday,181.07,1.2708,230.10375599999998,,
2021-09-15,Wednesday,180.5,1.2731,229.79455,,
2021-09-16,Thursday,178.8,1.2797,228.81036000000003,,
2021-09-17,Friday,176.99,1.2806,226.653394,,start
2021-09-18,Saturday,,,226.653394,imputed from 2852,
2021-09-19,Sunday,,,226.653394,imputed from 2853,
2021-09-20,Monday,178.65,1.2671,226.367415,,
2021-09-21,Tuesday,178.78,1.2615,225.53097000000002,,
2021-09-22,Wednesday,178.54,1.2613,225.19250200000002,,
2021-09-23,Thursday,175.51,1.2683,222.59933299999997,,
2021-09-24,Friday,174.19,1.2642,220.210998,,start
2021-09-25,Saturday,,,220.210998,imputed from 2859,
2021-09-26,Sunday,,,220.210998,imputed from 2860,
2021-09-27,Monday,173.09,1.2683,219.530047,,
2021-09-28,Tuesday,171.3,1.258,215.49540000000002,,
2021-09-29,Wednesday,171.35,1.2549,215.02711499999998,,
2021-09-30,Thursday,169.12,1.2552,212.27942400000003,,
2021-10-01,Friday,170.81,1.2606,215.323086,,start
2021-10-02,Saturday,,,215.323086,imputed from 2866,
2021-10-03,Sunday,,,215.323086,imputed from 2867,
2021-10-04,Monday,169.63,1.2581,213.41150299999998,,
2021-10-05,Tuesday,166.99,1.2648,211.208952,,
2021-10-06,Wednesday,167.71,1.2595,211.230745,,
2021-10-07,Thursday,167.67,1.2645,212.018715,,
2021-10-08,Friday,165.51,1.2627,208.98947699999997,,start
2021-10-09,Saturday,,,208.98947699999997,imputed from 2873,
2021-10-10,Sunday,,,208.98947699999997,imputed from 2874,
2021-10-11,Monday,165.02,1.2612,208.12322400000002,,
2021-10-12,Tuesday,166.82,1.2648,210.993936,,
2021-10-13,Wednesday,171.15,1.2622,216.02553,,
2021-10-14,Thursday,172.22,1.2627,217.46219399999998,,
2021-10-15,Friday,170.01,1.269,215.74268999999998,,start
2021-10-16,Saturday,,,215.74268999999998,imputed from 2880,
2021-10-17,Sunday,,,215.74268999999998,imputed from 2881,
2021-10-18,Monday,170.01,1.2682,215.60668199999998,,
2021-10-19,Tuesday,170.16,1.2732,216.647712,,
2021-10-20,Wednesday,169.26,1.2703,215.010978,,
2021-10-21,Thursday,167.31,1.2666,211.91484599999998,,
2021-10-22,Friday,169.33,1.26,213.35580000000002,,start
2021-10-23,Saturday,,,213.35580000000002,imputed from 2887,
2021-10-24,Sunday,,,213.35580000000002,imputed from 2888,
2021-10-25,Monday,170.01,1.2663,215.283663,,
2021-10-26,Tuesday,171.3,1.2661,216.88293000000002,,
2021-10-27,Wednesday,177.4,1.2617,223.82558,,
2021-10-28,Thursday,179.03,1.258,225.21974,,
2021-10-29,Friday,177.59,1.2533,222.57354700000002,,start
2021-10-30,Saturday,,,222.57354700000002,imputed from 2894,
2021-10-31,Sunday,,,222.57354700000002,imputed from 2895,
2021-11-01,Monday,177.16,1.2423,220.08586799999998,,
2021-11-02,Tuesday,176.55,1.245,219.80475000000004,,
2021-11-03,Wednesday,175.36,1.248,218.84928000000002,,
2021-11-04,Thursday,177.14,1.232,218.23647999999997,,
2021-11-05,Friday,181.98,1.2314,224.090172,,start
2021-11-06,Saturday,,,224.090172,imputed from 2901,
2021-11-07,Sunday,,,224.090172,imputed from 2902,
2021-11-08,Monday,182.24,1.2393,225.85003200000003,,
2021-11-09,Tuesday,184.53,1.2354,227.968362,,
2021-11-10,Wednesday,181.32,1.2308,223.16865599999997,,
2021-11-11,Thursday,180.41,1.2313,222.138833,,
2021-11-12,Friday,179.58,1.2361,221.97883800000002,,start
2021-11-13,Saturday,,,221.97883800000002,imputed from 2908,
2021-11-14,Sunday,,,221.97883800000002,imputed from 2909,
2021-11-15,Monday,178.67,1.2411,221.747337,,
2021-11-16,Tuesday,178.16,1.2494,222.593104,,
2021-11-17,Wednesday,177.48,1.2523,222.25820399999998,,
2021-11-18,Thursday,178.99,1.2494,223.630106,,
2021-11-19,Friday,181.18,1.2482,226.148876,,start
2021-11-20,Saturday,,,226.148876,imputed from 2915,
2021-11-21,Sunday,,,226.148876,imputed from 2916,
2021-11-22,Monday,179.48,1.25,224.35,,
2021-11-23,Tuesday,179.41,1.2485,223.993385,,
2021-11-24,Wednesday,178.52,1.245,222.25740000000002,,
2021-11-25,Thursday,179.9,1.2468,224.29932,,
2021-11-26,Friday,184.51,1.2312,227.168712,,start
2021-11-27,Saturday,,,227.168712,imputed from 2922,
2021-11-28,Sunday,,,227.168712,imputed from 2923,
2021-11-29,Monday,183.74,1.2288,225.779712,,
2021-11-30,Tuesday,186.35,1.2218,227.68242999999998,,
2021-12-01,Wednesday,184.97,1.222,226.03333999999998,,
2021-12-02,Thursday,185.76,1.2242,227.407392,,
2021-12-03,Friday,186.57,1.2144,226.57060799999996,,start
2021-12-04,Saturday,,,226.57060799999996,imputed from 2929,
2021-12-05,Sunday,,,226.57060799999996,imputed from 2930,
2021-12-06,Monday,187.89,1.2275,230.634975,,
2021-12-07,Tuesday,189.46,1.225,232.08850000000004,,
2021-12-08,Wednesday,188.41,1.2155,229.012355,,
2021-12-09,Thursday,187.38,1.2212,228.82845600000002,,
2021-12-10,Friday,187.62,1.2221,229.290402,,start
2021-12-11,Saturday,,,229.290402,imputed from 2936,
2021-12-12,Sunday,,,229.290402,imputed from 2937,
2021-12-13,Monday,187.56,1.2189,228.61688400000003,,
2021-12-14,Tuesday,186.35,1.2226,227.83150999999998,,
2021-12-15,Wednesday,185.46,1.2261,227.392506,,
2021-12-16,Thursday,183.98,1.2248,225.338704,,
2021-12-17,Friday,183.24,1.2234,224.17581600000003,,start
2021-12-18,Saturday,,,224.17581600000003,imputed from 2943,
2021-12-19,Sunday,,,224.17581600000003,imputed from 2944,
2021-12-20,Monday,183.16,1.217,222.90572,,
2021-12-21,Tuesday,178.69,1.2252,218.930988,,
2021-12-22,Wednesday,178.26,1.2278,218.867628,,
2021-12-23,Thursday,177.07,1.2315,218.061705,,
2021-12-24,Friday,177.7,1.2331,219.12187,,start
2021-12-25,Saturday,,,219.12187,imputed from 2950,
2021-12-26,Sunday,,,219.12187,imputed from 2951,
2021-12-27,Monday,177.7,1.2333,219.15741,,
2021-12-28,Tuesday,177.7,1.232,218.92639999999997,,
2021-12-29,Wednesday,174.4,1.2339,215.19216,,
2021-12-30,Thursday,175.72,1.2336,216.768192,,
2021-12-31,Friday,176.28,1.2332,217.388496,,start
2022-01-01,Saturday,,,217.388496,imputed from 2957,
2022-01-02,Sunday,,,217.388496,imputed from 2958,
2022-01-03,Monday,176.28,1.2388,218.37566399999997,,
2022-01-04,Tuesday,173.33,1.2395,214.84253500000003,,
2022-01-05,Wednesday,173.57,1.2433,215.79958100000002,,
2022-01-06,Thursday,170.99,1.2467,213.173233,,
2022-01-07,Friday,170.22,1.2485,212.51967,,start
2022-01-08,Saturday,,,212.51967,imputed from 2964,
2022-01-09,Sunday,,,212.51967,imputed from 2965,
2022-01-10,Monday,169.61,1.2589,213.522029,,
2022-01-11,Tuesday,170.99,1.2592,215.31060800000003,,
2022-01-12,Wednesday,171.85,1.2527,215.27649499999998,,
2022-01-13,Thursday,172.62,1.2487,215.550594,,
2022-01-14,Friday,171.81,1.2501,214.779681,,start
2022-01-15,Saturday,,,214.779681,imputed from 2971,
2022-01-16,Sunday,,,214.779681,imputed from 2972,
2022-01-17,Monday,170.08,1.2474,212.15779200000003,,
2022-01-18,Tuesday,169.29,1.2472,211.138488,,
2022-01-19,Wednesday,167.2,1.2466,208.43151999999998,,
2022-01-20,Thursday,168.16,1.247,209.69552000000002,,
2022-01-21,Friday,170.06,1.2359,210.177154,,start
2022-01-22,Saturday,,,210.177154,imputed from 2978,
2022-01-23,Sunday,,,210.177154,imputed from 2979,
2022-01-24,Monday,171.96,1.2329,212.00948400000001,,
2022-01-25,Tuesday,170.68,1.2398,211.60906400000002,,
2022-01-26,Wednesday,168.7,1.2441,209.87966999999998,,
2022-01-27,Thursday,168.03,1.2458,209.331774,,
2022-01-28,Friday,167.55,1.2474,209.00187000000003,,start
2022-01-29,Saturday,,,209.00187000000003,imputed from 2985,
2022-01-30,Sunday,,,209.00187000000003,imputed from 2986,
2022-01-31,Monday,164.96,1.2465,205.62264,,
2022-02-01,Tuesday,165.18,1.2458,205.78124400000002,,
2022-02-02,Wednesday,167.93,1.2475,209.49267500000002,,
2022-02-03,Thursday,164.25,1.251,205.47674999999998,,
2022-02-04,Friday,163.53,1.2521,204.755913,,start
2022-02-05,Saturday,,,204.755913,imputed from 2992,
2022-02-06,Sunday,,,204.755913,imputed from 2993,
2022-02-07,Monday,162.7,1.2504,203.44007999999997,,
2022-02-08,Tuesday,159.77,1.2529,200.175833,,
2022-02-09,Wednesday,162.23,1.251,202.94972999999996,,
2022-02-10,Thursday,159.44,1.2545,200.01747999999998,,
2022-02-11,Friday,159.26,1.2557,199.982782,,start
2022-02-12,Saturday,,,199.982782,imputed from 2999,
2022-02-13,Sunday,,,199.982782,imputed from 3000,
2022-02-14,Monday,158.73,1.2508,198.539484,,
2022-02-15,Tuesday,159.52,1.2527,199.830704,,
2022-02-16,Wednesday,160.39,1.2531,200.984709,,
2022-02-17,Thursday,161.42,1.253,202.25925999999995,,
2022-02-18,Friday,164.09,1.2524,205.506316,,start
2022-02-19,Saturday,,,205.506316,imputed from 3006,
2022-02-20,Sunday,,,205.506316,imputed from 3007,
2022-02-21,Monday,163.67,1.2457,203.88371899999999,,
2022-02-22,Tuesday,161.73,1.2521,202.502133,,
2022-02-23,Wednesday,161.4,1.2435,200.70090000000002,,
2022-02-24,Thursday,161.2,1.2384,199.63007999999996,,
2022-02-25,Friday,159.76,1.2412,198.294112,,start
2022-02-26,Saturday,,,198.294112,imputed from 3013,
2022-02-27,Sunday,,,198.294112,imputed from 3014,
2022-02-28,Monday,159.25,1.2303,195.925275,,
2022-03-01,Tuesday,167.61,1.2242,205.188162,,
2022-03-02,Wednesday,164.87,1.2337,203.40011900000002,,
2022-03-03,Thursday,162.56,1.2243,199.022208,,
2022-03-04,Friday,165.54,1.2132,200.833128,,start
2022-03-05,Saturday,,,200.833128,imputed from 3020,
2022-03-06,Sunday,,,200.833128,imputed from 3021,
2022-03-07,Monday,164.0,1.2127,198.88279999999997,,
2022-03-08,Tuesday,160.73,1.2175,195.688775,,
2022-03-09,Wednesday,157.71,1.2214,192.62699400000002,,
2022-03-10,Thursday,157.29,1.2169,191.406201,,
2022-03-11,Friday,157.27,1.2183,191.602041,,start
2022-03-12,Saturday,,,191.602041,imputed from 3027,
2022-03-13,Sunday,,,191.602041,imputed from 3028,
2022-03-14,Monday,154.67,1.2204,188.75926799999996,,
2022-03-15,Tuesday,155.68,1.2277,191.12833600000002,,
2022-03-16,Wednesday,153.84,1.2367,190.253928,,
2022-03-17,Thursday,154.58,1.2322,190.473476,,
2022-03-18,Friday,155.9,1.2278,191.41402,,start
2022-03-19,Saturday,,,191.41402,imputed from 3034,
2022-03-20,Sunday,,,191.41402,imputed from 3035,
2022-03-21,Monday,153.88,1.2294,189.180072,,
2022-03-22,Tuesday,152.14,1.2373,188.242822,,
2022-03-23,Wednesday,151.53,1.2288,186.200064,,
2022-03-24,Thursday,152.85,1.2266,187.48581,,
2022-03-25,Friday,151.83,1.2267,186.249861,,start
2022-03-26,Saturday,,,186.249861,imputed from 3041,
2022-03-27,Sunday,,,186.249861,imputed from 3042,
2022-03-28,Monday,150.47,1.2235,184.100045,,
2022-03-29,Tuesday,152.3,1.2193,185.69939000000002,,
2022-03-30,Wednesday,153.84,1.2127,186.561768,,
2022-03-31,Thursday,154.61,1.2124,187.449164,,
2022-04-01,Friday,155.95,1.2147,189.43246499999998,,start
2022-04-02,Saturday,,,189.43246499999998,imputed from 3048,
