date,weekday,RX1_Comdty_PX-LAST-CHF,imputed,RX1_Comdty_start
2005-02-27,Sunday,128.91214,imputed from 2752,
2005-02-28,Monday,128.37211,,
2005-03-01,Tuesday,128.29002,,
2005-03-02,Wednesday,128.39632,,
2005-03-03,Thursday,129.00777,,
2005-03-04,Friday,129.45112,,start
2005-03-05,Saturday,129.45112,imputed from 2758,
2005-03-06,Sunday,129.45112,imputed from 2759,
2005-03-07,Monday,130.25248,,
2005-03-08,Tuesday,129.50163,,
2005-03-09,Wednesday,129.35969,,
2005-03-10,Thursday,128.98983,,
2005-03-11,Friday,128.99684,,start
2005-03-12,Saturday,128.99684,imputed from 2765,
2005-03-13,Sunday,128.99684,imputed from 2766,
2005-03-14,Monday,129.21979,,
2005-03-15,Tuesday,129.75452,,
2005-03-16,Wednesday,129.86371,,
2005-03-17,Thursday,129.73331,,
2005-03-18,Friday,129.84363,,start
2005-03-19,Saturday,129.84363,imputed from 2772,
2005-03-20,Sunday,129.84363,imputed from 2773,
2005-03-21,Monday,129.69121,,
2005-03-22,Tuesday,130.19822,,
2005-03-23,Wednesday,129.80114,,
2005-03-24,Thursday,129.96671,,
2005-03-25,Friday,129.96671,imputed from 2778,start
2005-03-26,Saturday,129.96671,imputed from 2779,
2005-03-27,Sunday,129.96671,imputed from 2780,
2005-03-28,Monday,129.96671,imputed from 2781,
2005-03-29,Tuesday,130.08621,,
2005-03-30,Wednesday,129.9978,,
2005-03-31,Thursday,130.64227,,
2005-04-01,Friday,130.94008,,start
2005-04-02,Saturday,130.94008,imputed from 2786,
2005-04-03,Sunday,130.94008,imputed from 2787,
2005-04-04,Monday,131.35038,,
2005-04-05,Tuesday,130.90918,,
2005-04-06,Wednesday,130.93737,,
2005-04-07,Thursday,131.31061,,
2005-04-08,Friday,131.03331,,start
2005-04-09,Saturday,131.03331,imputed from 2793,
2005-04-10,Sunday,131.03331,imputed from 2794,
2005-04-11,Monday,131.04833,,
2005-04-12,Tuesday,131.38227,,
2005-04-13,Wednesday,131.7515,,
2005-04-14,Thursday,132.03892,,
2005-04-15,Friday,132.23379,,start
2005-04-16,Saturday,132.23379,imputed from 2800,
2005-04-17,Sunday,132.23379,imputed from 2801,
2005-04-18,Monday,131.82413,,
2005-04-19,Tuesday,131.92733,,
2005-04-20,Wednesday,131.73007,,
2005-04-21,Thursday,131.51953,,
2005-04-22,Friday,131.88884,,start
2005-04-23,Saturday,131.88884,imputed from 2807,
2005-04-24,Sunday,131.88884,imputed from 2808,
2005-04-25,Monday,131.92894,,
2005-04-26,Tuesday,131.83415,,
2005-04-27,Wednesday,132.08554,,
2005-04-28,Thursday,132.07187,,
2005-04-29,Friday,131.85687,,start
2005-04-30,Saturday,131.85687,imputed from 2814,
2005-05-01,Sunday,131.85687,imputed from 2815,
2005-05-02,Monday,132.12361,,
2005-05-03,Tuesday,132.52831,,
2005-05-04,Wednesday,132.34883,,
2005-05-05,Thursday,132.86439,,
2005-05-06,Friday,132.2835,,start
2005-05-07,Saturday,132.2835,imputed from 2821,
2005-05-08,Sunday,132.2835,imputed from 2822,
2005-05-09,Monday,132.67218,,
2005-05-10,Tuesday,133.03656,,
2005-05-11,Wednesday,133.25613,,
2005-05-12,Thursday,133.24972,,
2005-05-13,Friday,133.48879,,start
2005-05-14,Saturday,133.48879,imputed from 2828,
2005-05-15,Sunday,133.48879,imputed from 2829,
2005-05-16,Monday,133.30041,,
2005-05-17,Tuesday,133.27541,,
2005-05-18,Wednesday,133.52789,,
2005-05-19,Thursday,133.40083,,
2005-05-20,Friday,133.58221,,start
2005-05-21,Saturday,133.58221,imputed from 2835,
2005-05-22,Sunday,133.58221,imputed from 2836,
2005-05-23,Monday,133.94372,,
2005-05-24,Tuesday,134.16091,,
2005-05-25,Wednesday,133.92373,,
2005-05-26,Thursday,134.02855,,
2005-05-27,Friday,134.01532,,start
2005-05-28,Saturday,134.01532,imputed from 2842,
2005-05-29,Sunday,134.01532,imputed from 2843,
2005-05-30,Monday,133.63102,,
2005-05-31,Tuesday,133.46787,,
2005-06-01,Wednesday,133.50941,,
2005-06-02,Thursday,134.04881,,
2005-06-03,Friday,133.61268,,start
2005-06-04,Saturday,133.61268,imputed from 2849,
2005-06-05,Sunday,133.61268,imputed from 2850,
2005-06-06,Monday,133.72708,,
2005-06-07,Tuesday,134.20675,,
2005-06-08,Wednesday,135.07634,,
2005-06-09,Thursday,134.72002,,
2005-06-10,Friday,135.13597,,start
2005-06-11,Saturday,135.13597,imputed from 2856,
2005-06-12,Sunday,135.13597,imputed from 2857,
2005-06-13,Monday,134.6551,,
2005-06-14,Tuesday,134.45245,,
2005-06-15,Wednesday,133.32813,,
2005-06-16,Thursday,133.57919,,
2005-06-17,Friday,134.21166,,start
2005-06-18,Saturday,134.21166,imputed from 2863,
2005-06-19,Sunday,134.21166,imputed from 2864,
2005-06-20,Monday,134.08875,,
2005-06-21,Tuesday,134.56945,,
2005-06-22,Wednesday,135.36967,,
2005-06-23,Thursday,135.06301,,
2005-06-24,Friday,135.3268,,start
2005-06-25,Saturday,135.3268,imputed from 2870,
2005-06-26,Sunday,135.3268,imputed from 2871,
2005-06-27,Monday,135.64772,,
2005-06-28,Tuesday,135.45861,,
2005-06-29,Wednesday,135.47172,,
2005-06-30,Thursday,136.38636,,
2005-07-01,Friday,136.00807,,start
2005-07-02,Saturday,136.00807,imputed from 2877,
2005-07-03,Sunday,136.00807,imputed from 2878,
2005-07-04,Monday,135.9566,,
2005-07-05,Tuesday,135.64041,,
2005-07-06,Wednesday,135.62918,,
2005-07-07,Thursday,135.67951,,
2005-07-08,Friday,136.13774,,start
2005-07-09,Saturday,136.13774,imputed from 2884,
2005-07-10,Sunday,136.13774,imputed from 2885,
2005-07-11,Monday,135.62785,,
2005-07-12,Tuesday,135.72937,,
2005-07-13,Wednesday,135.85726,,
2005-07-14,Thursday,135.44535,,
2005-07-15,Friday,135.56077,,start
2005-07-16,Saturday,135.56077,imputed from 2891,
2005-07-17,Sunday,135.56077,imputed from 2892,
2005-07-18,Monday,135.77055,,
2005-07-19,Tuesday,135.97738,,
2005-07-20,Wednesday,135.74518,,
2005-07-21,Thursday,135.52069,,
2005-07-22,Friday,136.36011,,start
2005-07-23,Saturday,136.36011,imputed from 2898,
2005-07-24,Sunday,136.36011,imputed from 2899,
2005-07-25,Monday,136.36843,,
2005-07-26,Tuesday,136.14926,,
2005-07-27,Wednesday,136.44954,,
2005-07-28,Thursday,136.05215,,
2005-07-29,Friday,136.09297,,start
2005-07-30,Saturday,136.09297,imputed from 2905,
2005-07-31,Sunday,136.09297,imputed from 2906,
2005-08-01,Monday,135.3,,
2005-08-02,Tuesday,134.75962,,
2005-08-03,Wednesday,134.81436,,
2005-08-04,Thursday,134.74454,,
2005-08-05,Friday,134.64217,,start
2005-08-06,Saturday,134.64217,imputed from 2912,
2005-08-07,Sunday,134.64217,imputed from 2913,
2005-08-08,Monday,134.47324,,
2005-08-09,Tuesday,134.41365,,
2005-08-10,Wednesday,134.64098,,
2005-08-11,Thursday,134.51858,,
2005-08-12,Friday,134.86317,,start
2005-08-13,Saturday,134.86317,imputed from 2919,
2005-08-14,Sunday,134.86317,imputed from 2920,
2005-08-15,Monday,134.95347,,
2005-08-16,Tuesday,135.43533,,
2005-08-17,Wednesday,135.23497,,
2005-08-18,Thursday,135.46206,,
2005-08-19,Friday,135.71201,,start
2005-08-20,Saturday,135.71201,imputed from 2926,
2005-08-21,Sunday,135.71201,imputed from 2927,
2005-08-22,Monday,136.163,,
2005-08-23,Tuesday,136.2889,,
2005-08-24,Wednesday,136.08704,,
2005-08-25,Thursday,135.92228,,
2005-08-26,Friday,135.78319,,start
2005-08-27,Saturday,135.78319,imputed from 2933,
2005-08-28,Sunday,135.78319,imputed from 2934,
2005-08-29,Monday,136.15721,,
2005-08-30,Tuesday,136.18513,,
2005-08-31,Wednesday,136.43446,,
2005-09-01,Thursday,136.49873,,
2005-09-02,Friday,136.26554,,start
2005-09-03,Saturday,136.26554,imputed from 2940,
2005-09-04,Sunday,136.26554,imputed from 2941,
2005-09-05,Monday,136.81162,,
2005-09-06,Tuesday,136.35412,,
2005-09-07,Wednesday,136.14627,,
2005-09-08,Thursday,136.53253,,
2005-09-09,Friday,136.65561,,start
2005-09-10,Saturday,136.65561,imputed from 2947,
2005-09-11,Sunday,136.65561,imputed from 2948,
2005-09-12,Monday,136.03787,,
2005-09-13,Tuesday,136.55898,,
2005-09-14,Wednesday,136.39121,,
2005-09-15,Thursday,136.30919,,
2005-09-16,Friday,136.57218,,start
2005-09-17,Saturday,136.57218,imputed from 2954,
2005-09-18,Sunday,136.57218,imputed from 2955,
2005-09-19,Monday,136.96478,,
2005-09-20,Tuesday,137.26916,,
2005-09-21,Wednesday,137.75638,,
2005-09-22,Thursday,137.89065,,
2005-09-23,Friday,137.64681,,start
2005-09-24,Saturday,137.64681,imputed from 2961,
2005-09-25,Sunday,137.64681,imputed from 2962,
2005-09-26,Monday,137.00939,,
2005-09-27,Tuesday,137.01425,,
2005-09-28,Wednesday,137.01818,,
2005-09-29,Thursday,136.75514,,
2005-09-30,Friday,136.55381,,start
2005-10-01,Saturday,136.55381,imputed from 2968,
2005-10-02,Sunday,136.55381,imputed from 2969,
2005-10-03,Monday,135.95588,,
2005-10-04,Tuesday,135.94941,,
2005-10-05,Wednesday,135.75761,,
2005-10-06,Thursday,135.53427,,
2005-10-07,Friday,135.99235,,start
2005-10-08,Saturday,135.99235,imputed from 2975,
2005-10-09,Sunday,135.99235,imputed from 2976,
2005-10-10,Monday,135.93468,,
2005-10-11,Tuesday,135.48163,,
2005-10-12,Wednesday,135.13918,,
2005-10-13,Thursday,134.75291,,
2005-10-14,Friday,134.53143,,start
2005-10-15,Saturday,134.53143,imputed from 2982,
2005-10-16,Sunday,134.53143,imputed from 2983,
2005-10-17,Monday,135.15327,,
2005-10-18,Tuesday,135.37764,,
2005-10-19,Wednesday,135.29821,,
2005-10-20,Thursday,134.68453,,
2005-10-21,Friday,134.99495,,start
2005-10-22,Saturday,134.99495,imputed from 2989,
2005-10-23,Sunday,134.99495,imputed from 2990,
2005-10-24,Monday,134.54145,,
2005-10-25,Tuesday,133.95562,,
2005-10-26,Wednesday,133.85742,,
2005-10-27,Thursday,133.34878,,
2005-10-28,Friday,133.15703,,start
2005-10-29,Saturday,133.15703,imputed from 2996,
2005-10-30,Sunday,133.15703,imputed from 2997,
2005-10-31,Monday,133.50458,,
2005-11-01,Tuesday,133.51576,,
2005-11-02,Wednesday,132.57966,,
2005-11-03,Thursday,132.58123,,
2005-11-04,Friday,132.34521,,start
2005-11-05,Saturday,132.34521,imputed from 3003,
2005-11-06,Sunday,132.34521,imputed from 3004,
2005-11-07,Monday,132.16664,,
2005-11-08,Tuesday,132.58007,,
2005-11-09,Wednesday,131.86172,,
2005-11-10,Thursday,131.5427,,
2005-11-11,Friday,131.52659,,start
2005-11-12,Saturday,131.52659,imputed from 3010,
2005-11-13,Sunday,131.52659,imputed from 3011,
2005-11-14,Monday,131.52034,,
2005-11-15,Tuesday,132.36346,,
2005-11-16,Wednesday,133.42605,,
2005-11-17,Thursday,133.3309,,
2005-11-18,Friday,132.50262,,start
2005-11-19,Saturday,132.50262,imputed from 3017,
2005-11-20,Sunday,132.50262,imputed from 3018,
2005-11-21,Monday,132.86866,,
2005-11-22,Tuesday,132.82838,,
2005-11-23,Wednesday,133.20388,,
2005-11-24,Thursday,133.99503,,
2005-11-25,Friday,133.60794,,start
2005-11-26,Saturday,133.60794,imputed from 3024,
2005-11-27,Sunday,133.60794,imputed from 3025,
2005-11-28,Monday,133.62314,,
2005-11-29,Tuesday,133.22361,,
2005-11-30,Wednesday,133.60354,,
2005-12-01,Thursday,133.6267,,
2005-12-02,Friday,133.58825,,start
2005-12-03,Saturday,133.58825,imputed from 3031,
2005-12-04,Sunday,133.58825,imputed from 3032,
2005-12-05,Monday,133.15829,,
2005-12-06,Tuesday,133.56577,,
2005-12-07,Wednesday,133.11675,,
2005-12-08,Thursday,133.25248,,
2005-12-09,Friday,132.78858,,start
