date,weekday,NG1_Comdty_PX-LAST-CHF,imputed,NG1_Comdty_start
1998-03-14,Saturday,1950.93174,imputed from 210,
1998-03-15,Sunday,1950.93174,imputed from 211,
1998-03-16,Monday,1978.98436,,
1998-03-17,Tuesday,1979.25148,,
1998-03-18,Wednesday,2070.13898,,
1998-03-19,Thursday,2129.95964,,
1998-03-20,Friday,2174.42746,,start
1998-03-21,Saturday,2174.42746,imputed from 217,
1998-03-22,Sunday,2174.42746,imputed from 218,
1998-03-23,Monday,2171.50651,,
1998-03-24,Tuesday,2152.39863,,
1998-03-25,Wednesday,2191.91307,,
1998-03-26,Thursday,2155.44173,,
1998-03-27,Friday,2135.37648,,start
1998-03-28,Saturday,2135.37648,imputed from 224,
1998-03-29,Sunday,2135.37648,imputed from 225,
1998-03-30,Monday,2219.97738,,
1998-03-31,Tuesday,2329.91918,,
1998-04-01,Wednesday,2323.70596,,
1998-04-02,Thursday,2377.27619,,
1998-04-03,Friday,2369.69494,,start
1998-04-04,Saturday,2369.69494,imputed from 231,
1998-04-05,Sunday,2369.69494,imputed from 232,
1998-04-06,Monday,2345.46278,,
1998-04-07,Tuesday,2472.88453,,
1998-04-08,Wednesday,2456.49467,,
1998-04-09,Thursday,2437.72875,,
1998-04-10,Friday,2437.72875,imputed from 237,start
1998-04-11,Saturday,2437.72875,imputed from 238,
1998-04-12,Sunday,2437.72875,imputed from 239,
1998-04-13,Monday,2269.15976,,
1998-04-14,Tuesday,2263.37752,,
1998-04-15,Wednesday,2286.36661,,
1998-04-16,Thursday,2261.64748,,
1998-04-17,Friday,2249.74801,,start
1998-04-18,Saturday,2249.74801,imputed from 245,
1998-04-19,Sunday,2249.74801,imputed from 246,
1998-04-20,Monday,2238.3085,,
1998-04-21,Tuesday,2294.86019,,
1998-04-22,Wednesday,2156.06601,,
1998-04-23,Thursday,2104.41582,,
1998-04-24,Friday,2115.36793,,start
1998-04-25,Saturday,2115.36793,imputed from 252,
1998-04-26,Sunday,2115.36793,imputed from 253,
1998-04-27,Monday,2030.36135,,
1998-04-28,Tuesday,2064.79911,,
1998-04-29,Wednesday,2059.50704,,
