date,weekday,OE1_Comdty_PX-LAST-CHF,imputed,OE1_Comdty_start
1998-03-18,Wednesday,77.29531,,
1998-03-19,Thursday,77.06803,,
1998-03-20,Friday,77.12669,,start
1998-03-21,Saturday,77.12669,imputed from 217,
1998-03-22,Sunday,77.12669,imputed from 218,
1998-03-23,Monday,77.12669,,
1998-03-24,Tuesday,77.19267,,
1998-03-25,Wednesday,77.0827,,
1998-03-26,Thursday,77.15601,,
1998-03-27,Friday,77.11935,,start
1998-03-28,Saturday,77.11935,imputed from 224,
1998-03-29,Sunday,77.11935,imputed from 225,
1998-03-30,Monday,76.96539,,
1998-03-31,Tuesday,77.03138,,
1998-04-01,Wednesday,76.88475,,
1998-04-02,Thursday,76.99472,,
1998-04-03,Friday,77.2,,start
1998-04-04,Saturday,77.2,imputed from 231,
1998-04-05,Sunday,77.2,imputed from 232,
1998-04-06,Monday,77.05337,,
1998-04-07,Tuesday,76.99472,,
1998-04-08,Wednesday,77.02404,,
1998-04-09,Thursday,77.03871,,
1998-04-10,Friday,77.03871,imputed from 237,start
1998-04-11,Saturday,77.03871,imputed from 238,
1998-04-12,Sunday,77.03871,imputed from 239,
1998-04-13,Monday,77.03871,imputed from 240,
1998-04-14,Tuesday,77.01671,,
1998-04-15,Wednesday,76.91407,,
1998-04-16,Thursday,76.93607,,
1998-04-17,Friday,76.9214,,start
1998-04-18,Saturday,76.9214,imputed from 245,
1998-04-19,Sunday,76.9214,imputed from 246,
1998-04-20,Monday,76.81143,,
1998-04-21,Tuesday,76.8041,,
1998-04-22,Wednesday,76.89941,,
1998-04-23,Thursday,76.9434,,
1998-04-24,Friday,76.9214,,start
1998-04-25,Saturday,76.9214,imputed from 252,
1998-04-26,Sunday,76.9214,imputed from 253,
1998-04-27,Monday,76.74545,,
1998-04-28,Tuesday,76.81143,,
1998-04-29,Wednesday,76.6648,,
1998-04-30,Thursday,76.85542,,
1998-05-01,Friday,76.85542,imputed from 258,start
1998-05-02,Saturday,76.85542,imputed from 259,
1998-05-03,Sunday,76.85542,imputed from 260,
1998-05-04,Monday,76.84809,,
1998-05-05,Tuesday,76.75278,,
1998-05-06,Wednesday,76.78944,,
1998-05-07,Thursday,76.81876,,
1998-05-08,Friday,76.96539,,start
1998-05-09,Saturday,76.96539,imputed from 266,
1998-05-10,Sunday,76.96539,imputed from 267,
1998-05-11,Monday,76.85542,,
1998-05-12,Tuesday,76.8261,,
1998-05-13,Wednesday,76.91407,,
1998-05-14,Thursday,76.87008,,
1998-05-15,Friday,76.86275,,start
1998-05-16,Saturday,76.86275,imputed from 273,
1998-05-17,Sunday,76.86275,imputed from 274,
1998-05-18,Monday,76.86275,,
1998-05-19,Tuesday,76.89941,,
1998-05-20,Wednesday,77.00205,,
1998-05-21,Thursday,77.00205,imputed from 278,
1998-05-22,Friday,77.0607,,start
1998-05-23,Saturday,77.0607,imputed from 280,
1998-05-24,Sunday,77.0607,imputed from 281,
1998-05-25,Monday,77.06803,,
1998-05-26,Tuesday,77.16334,,
1998-05-27,Wednesday,77.24399,,
1998-05-28,Thursday,77.18534,,
1998-05-29,Friday,77.25132,,start
1998-05-30,Saturday,77.25132,imputed from 287,
1998-05-31,Sunday,77.25132,imputed from 288,
1998-06-01,Monday,77.25132,imputed from 289,
1998-06-02,Tuesday,77.27331,,
1998-06-03,Wednesday,77.21466,,
1998-06-04,Thursday,77.18534,,
1998-06-05,Friday,77.18534,,start
1998-06-06,Saturday,77.18534,imputed from 294,
1998-06-07,Sunday,77.18534,imputed from 295,
1998-06-08,Monday,77.18534,,
1998-06-09,Tuesday,77.10458,,
1998-06-10,Wednesday,77.32482,,
1998-06-11,Thursday,77.32482,imputed from 299,
1998-06-12,Friday,77.47898,,start
1998-06-13,Saturday,77.47898,imputed from 301,
1998-06-14,Sunday,77.47898,imputed from 302,
1998-06-15,Monday,77.52303,,
1998-06-16,Tuesday,77.41291,,
1998-06-17,Wednesday,77.3395,,
1998-06-18,Thursday,77.39823,,
1998-06-19,Friday,77.3028,,start
1998-06-20,Saturday,77.3028,imputed from 308,
1998-06-21,Sunday,77.3028,imputed from 309,
1998-06-22,Monday,77.39089,,
1998-06-23,Tuesday,77.4643,,
1998-06-24,Wednesday,77.50101,,
1998-06-25,Thursday,77.52303,,
1998-06-26,Friday,77.62581,,start
1998-06-27,Saturday,77.62581,imputed from 315,
1998-06-28,Sunday,77.62581,imputed from 316,
1998-06-29,Monday,77.59644,,
1998-06-30,Tuesday,77.57442,,
1998-07-01,Wednesday,77.60378,,
1998-07-02,Thursday,77.65517,,
1998-07-03,Friday,77.69922,,start
1998-07-04,Saturday,77.69922,imputed from 322,
1998-07-05,Sunday,77.69922,imputed from 323,
1998-07-06,Monday,77.77997,,
1998-07-07,Tuesday,77.69922,,
1998-07-08,Wednesday,77.7139,,
1998-07-09,Thursday,77.802,,
1998-07-10,Friday,77.802,,start
1998-07-11,Saturday,77.802,imputed from 329,
1998-07-12,Sunday,77.802,imputed from 330,
1998-07-13,Monday,77.7139,,
1998-07-14,Tuesday,77.73593,,
1998-07-15,Wednesday,77.73593,,
1998-07-16,Thursday,77.70656,,
1998-07-17,Friday,77.72124,,start
1998-07-18,Saturday,77.72124,imputed from 336,
1998-07-19,Sunday,77.72124,imputed from 337,
1998-07-20,Monday,77.81668,,
1998-07-21,Tuesday,77.79466,,
1998-07-22,Wednesday,77.75061,,
1998-07-23,Thursday,77.79466,,
1998-07-24,Friday,77.79466,,start
1998-07-25,Saturday,77.79466,imputed from 343,
1998-07-26,Sunday,77.79466,imputed from 344,
1998-07-27,Monday,77.75061,,
1998-07-28,Tuesday,77.8387,,
1998-07-29,Wednesday,77.79466,,
1998-07-30,Thursday,77.802,,
1998-07-31,Friday,77.80934,,start
1998-08-01,Saturday,77.80934,imputed from 350,
1998-08-02,Sunday,77.80934,imputed from 351,
1998-08-03,Monday,77.91946,,
1998-08-04,Tuesday,77.9635,,
1998-08-05,Wednesday,77.95616,,
1998-08-06,Thursday,77.98553,,
1998-08-07,Friday,78.12501,,start
1998-08-08,Saturday,78.12501,imputed from 357,
1998-08-09,Sunday,78.12501,imputed from 358,
1998-08-10,Monday,78.16906,,
1998-08-11,Tuesday,78.36727,,
1998-08-12,Wednesday,78.28652,,
1998-08-13,Thursday,78.34525,,
1998-08-14,Friday,78.43334,,start
1998-08-15,Saturday,78.43334,imputed from 364,
1998-08-16,Sunday,78.43334,imputed from 365,
1998-08-17,Monday,78.50675,,
1998-08-18,Tuesday,78.48473,,
1998-08-19,Wednesday,78.52878,,
1998-08-20,Thursday,78.70496,,
1998-08-21,Friday,79.13809,,start
1998-08-22,Saturday,79.13809,imputed from 371,
1998-08-23,Sunday,79.13809,imputed from 372,
1998-08-24,Monday,79.1748,,
1998-08-25,Tuesday,79.3877,,
1998-08-26,Wednesday,79.02798,,
1998-08-27,Thursday,79.29226,,
1998-08-28,Friday,79.41706,,start
1998-08-29,Saturday,79.41706,imputed from 378,
1998-08-30,Sunday,79.41706,imputed from 379,
1998-08-31,Monday,79.40972,,
1998-09-01,Tuesday,79.24821,,
1998-09-02,Wednesday,79.07937,,
1998-09-03,Thursday,79.24821,,
1998-09-04,Friday,79.22619,,start
1998-09-05,Saturday,79.22619,imputed from 385,
1998-09-06,Sunday,79.22619,imputed from 386,
1998-09-07,Monday,79.08621,,
